"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2014-15,21,2TM,NBA,SF,35.0,1.0,261.0,0.388,12.8,0.716,0.254,0.179,0.09,0.194,0.284,0.438,0.706,0.25,0.5,0.231,0.263,0.524,1.0,0.06,4.0,0.316,0.333,0.0,0.0,
2014-15,21,MIN,NBA,SG,25.0,0.0,108.0,0.333,12.8,0.75,0.208,0.208,0.083,0.25,0.25,0.389,1.0,0.2,0.5,0.0,0.167,0.571,1.0,0.042,1.0,0.167,0.0,0.0,0.0,
2014-15,21,PHI,NBA,SF,10.0,1.0,153.0,0.419,12.8,0.698,0.279,0.163,0.093,0.163,0.302,0.467,0.583,0.286,0.5,0.429,0.308,0.5,1.0,0.07,3.0,0.385,0.4,0.0,0.0,
2015-16,22,IND,NBA,SF,45.0,4.0,508.0,0.43,11.9,0.755,0.331,0.139,0.06,0.225,0.245,0.447,0.58,0.476,0.222,0.294,0.378,0.627,0.929,0.113,15.0,0.405,0.4,0.0,0.0,
2016-17,23,IND,NBA,SF,69.0,27.0,1427.0,0.467,15.4,0.63,0.228,0.101,0.08,0.222,0.37,0.512,0.623,0.441,0.481,0.427,0.392,0.633,1.0,0.071,21.0,0.6,0.44,0.0,0.0,
2017-18,24,IND,NBA,SF,23.0,1.0,338.0,0.424,14.9,0.6,0.188,0.153,0.082,0.176,0.4,0.431,0.625,0.385,0.429,0.267,0.412,0.636,1.0,0.035,3.0,0.471,0.625,0.0,0.0,
2018-19,25,DET,NBA,SF,47.0,18.0,610.0,0.42,13.6,0.648,0.222,0.21,0.114,0.102,0.352,0.491,0.744,0.324,0.25,0.556,0.29,0.839,0.944,0.051,8.0,0.516,0.25,0.0,0.0,
2019-20,26,2TM,NBA,SF,62.0,52.0,1786.0,0.486,13.7,0.667,0.215,0.171,0.115,0.167,0.333,0.534,0.709,0.455,0.441,0.455,0.391,0.777,0.922,0.068,35.0,0.376,0.419,1.0,0.0,
2019-20,26,GSW,NBA,SF,48.0,48.0,1516.0,0.481,14.7,0.665,0.197,0.17,0.124,0.174,0.335,0.522,0.68,0.465,0.46,0.443,0.4,0.773,0.912,0.065,28.0,0.371,0.429,1.0,0.0,
2019-20,26,PHI,NBA,SF,14.0,4.0,270.0,0.518,12.8,0.682,0.318,0.176,0.059,0.129,0.318,0.603,0.815,0.4,0.2,0.545,0.333,0.8,1.0,0.082,7.0,0.407,0.364,0.0,0.0,
