"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2014-15,22,LAL,NBA,PG,59.0,38.0,1476.0,0.448,11.8,0.797,0.287,0.183,0.106,0.221,0.203,0.482,0.661,0.321,0.476,0.386,0.314,0.279,0.737,0.035,20.0,0.099,0.333,0.0,0.0,ROY-7
2015-16,23,LAL,NBA,SG,79.0,79.0,2552.0,0.433,12.6,0.709,0.261,0.195,0.106,0.149,0.291,0.468,0.54,0.477,0.379,0.384,0.347,0.305,0.757,0.026,23.0,0.191,0.295,2.0,0.0,
2016-17,24,LAL,NBA,SG,82.0,19.0,2397.0,0.445,13.5,0.668,0.246,0.205,0.109,0.106,0.332,0.503,0.627,0.445,0.419,0.425,0.329,0.253,0.778,0.02,18.0,0.16,0.281,1.0,0.0,
2017-18,25,2TM,NBA,SG,81.0,2.0,1888.0,0.451,14.0,0.667,0.246,0.142,0.133,0.146,0.333,0.5,0.647,0.4,0.441,0.403,0.352,0.277,0.795,0.017,15.0,0.164,0.423,0.0,0.0,6MOY-7
2017-18,25,LAL,NBA,SG,53.0,2.0,1256.0,0.448,13.2,0.685,0.264,0.147,0.121,0.153,0.315,0.505,0.67,0.429,0.346,0.422,0.324,0.273,0.794,0.015,9.0,0.114,0.292,0.0,0.0,
2017-18,25,CLE,NBA,SG,28.0,0.0,632.0,0.456,14.7,0.624,0.206,0.129,0.16,0.129,0.376,0.486,0.576,0.324,0.609,0.351,0.407,0.287,0.795,0.021,6.0,0.259,0.536,0.0,0.0,
2018-19,26,CLE,NBA,SG,81.0,0.0,2214.0,0.448,14.7,0.623,0.203,0.177,0.155,0.087,0.377,0.524,0.658,0.44,0.492,0.437,0.324,0.265,0.785,0.015,16.0,0.196,0.345,1.0,0.0,
2019-20,27,2TM,NBA,SG,71.0,2.0,1705.0,0.454,15.3,0.524,0.194,0.22,0.083,0.027,0.476,0.533,0.702,0.482,0.333,0.348,0.368,0.256,0.77,0.013,10.0,0.232,0.396,1.0,0.0,
2019-20,27,CLE,NBA,SG,29.0,0.0,666.0,0.442,15.4,0.512,0.233,0.172,0.08,0.028,0.488,0.509,0.658,0.429,0.269,0.444,0.371,0.294,0.78,0.015,5.0,0.164,0.423,0.0,0.0,
2019-20,27,UTA,NBA,SG,42.0,2.0,1039.0,0.462,15.2,0.53,0.17,0.25,0.085,0.026,0.47,0.547,0.739,0.504,0.37,0.286,0.366,0.236,0.763,0.011,5.0,0.276,0.386,1.0,0.0,
