"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Talen Horton-Tucker,,2.1,1.1,1.1,0.8,0.8,0.1
Sterling Brown,84.7,2.1,1.8,1.1,0.8,0.7,0.0
Hamidou Diallo,80.3,2.1,1.6,1.3,0.8,0.4,0.0
Claude Terry,79.2,2.4,1.8,1.0,1.0,0.8,0.0
Lloyd Walton,79.0,1.9,1.1,1.1,1.1,0.1,
Dion Glover,78.8,2.6,1.1,0.9,0.8,0.3,0.2
Joe Hassett,76.9,2.0,1.6,1.4,0.9,0.5,0.0
Cam Thomas,76.9,2.5,1.2,1.0,0.8,,
Todd Lichti,76.6,1.8,1.3,1.2,1.0,0.2,
Mike Davis,76.4,2.2,1.2,0.9,0.6,,
Justin Anderson,75.3,1.9,1.2,1.1,0.4,0.4,-0.1
