"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Luke Babbitt,,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,,,
Marc Iavaroni,82.2,1.7,1.5,1.4,1.1,1.0,0.7,0.6,,,,
Stanley Johnson,80.8,1.8,1.8,1.0,0.7,0.6,0.5,0.4,0.0,,,
John Wallace,77.5,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,,,
Brian Scalabrine,75.5,1.7,1.4,1.1,1.0,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Darvin Ham,74.4,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,,,
Michael Ruffin,73.9,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0,,
Zeke Nnaji,71.8,1.8,1.6,1.2,1.2,0.9,,,,,,
Charles Davis,71.5,2.1,1.5,1.0,0.9,0.5,0.3,-0.2,-0.3,,,
Anthony Randolph,71.2,1.6,1.5,1.1,0.6,0.5,0.5,,,,,
Juancho HernangÃ³mez,71.1,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,,,
