"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,22,DAL,NBA,SF,78.0,16.0,1353.0,0.384,17.9,0.477,0.177,0.071,0.038,0.191,0.523,0.446,0.677,0.231,0.286,0.343,0.328,0.667,0.937,0.016,5.0,0.224,0.488,3.0,0.0,
2013-14,23,DAL,NBA,SF,78.0,8.0,1254.0,0.439,16.1,0.49,0.243,0.071,0.051,0.125,0.51,0.552,0.722,0.381,0.4,0.378,0.331,0.55,0.96,0.041,12.0,0.411,0.435,1.0,0.0,
2014-15,24,2TM,NBA,SF,82.0,17.0,1647.0,0.42,15.5,0.618,0.279,0.07,0.097,0.174,0.382,0.499,0.618,0.395,0.453,0.368,0.293,0.679,0.967,0.031,14.0,0.255,0.302,2.0,0.0,
2014-15,24,DAL,NBA,SF,25.0,0.0,265.0,0.434,16.7,0.5,0.197,0.039,0.079,0.184,0.5,0.526,0.667,0.667,0.333,0.429,0.342,0.45,0.923,0.013,1.0,0.368,0.5,0.0,0.0,
2014-15,24,BOS,NBA,SF,57.0,17.0,1382.0,0.418,14.3,0.638,0.292,0.075,0.1,0.173,0.362,0.495,0.613,0.371,0.468,0.358,0.282,0.709,0.979,0.034,13.0,0.229,0.231,2.0,0.0,
2015-16,25,BOS,NBA,SF,73.0,73.0,2308.0,0.443,15.1,0.554,0.274,0.075,0.064,0.139,0.446,0.529,0.704,0.246,0.346,0.416,0.336,0.756,0.943,0.023,19.0,0.226,0.329,1.0,0.0,DPOY-13
2016-17,26,BOS,NBA,SF,72.0,72.0,2335.0,0.463,17.9,0.453,0.213,0.039,0.038,0.164,0.547,0.54,0.739,0.321,0.444,0.356,0.398,0.761,0.93,0.018,13.0,0.228,0.478,1.0,0.0,
2017-18,27,2TM,NBA,SF,80.0,47.0,2090.0,0.404,16.1,0.492,0.255,0.069,0.043,0.125,0.508,0.488,0.661,0.283,0.345,0.298,0.323,0.807,0.927,0.007,3.0,0.261,0.382,0.0,0.0,
2017-18,27,CLE,NBA,SF,53.0,47.0,1346.0,0.418,15.9,0.497,0.279,0.064,0.024,0.13,0.503,0.508,0.676,0.25,0.222,0.327,0.328,0.832,0.952,0.003,0.0,0.254,0.396,0.0,0.0,
2017-18,27,UTA,NBA,SF,27.0,0.0,744.0,0.386,16.4,0.485,0.224,0.075,0.068,0.119,0.515,0.462,0.636,0.318,0.4,0.257,0.316,0.773,0.896,0.014,3.0,0.27,0.366,0.0,0.0,
2018-19,28,UTA,NBA,SF,80.0,11.0,2166.0,0.399,18.7,0.345,0.202,0.056,0.023,0.064,0.655,0.527,0.671,0.244,0.167,0.451,0.331,0.869,0.942,0.031,22.0,0.239,0.352,4.0,0.0,6MOY-11
2019-20,29,2TM,NBA,SF,65.0,53.0,1875.0,0.401,19.9,0.3,0.187,0.044,0.02,0.05,0.7,0.538,0.648,0.36,0.273,0.393,0.343,0.648,0.852,0.007,4.0,0.226,0.382,1.0,0.0,
