"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Ronnie Brewer,,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0
Eric Snow,92.6,8.4,6.1,5.5,3.8,3.8,1.9,1.3,0.5
Johnny Moore,92.2,7.2,6.6,5.8,3.8,3.2,2.1,1.2,-0.1
George King,88.0,8.1,6.4,6.3,3.8,3.8,3.0,,
Andrew Toney,88.0,7.3,6.4,5.5,4.0,2.2,1.2,0.5,-0.2
Dee Brown,87.3,6.8,6.4,6.4,3.5,3.4,2.4,1.0,0.3
Ben Gordon,87.3,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7
Butch Beard,86.9,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5
Eric Bledsoe,86.7,7.0,5.6,5.3,4.1,3.7,2.5,0.3,0.2
Ralph Simpson,86.5,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.2
Flynn Robinson,85.9,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2
