"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,20,OKC,NBA,SF,23.0,0.0,147.0,0.353,16.4,0.559,0.147,0.162,0.074,0.176,0.441,0.395,0.4,0.364,0.4,0.417,0.3,0.533,0.889,0.029,1.0,0.133,0.25,0.0,0.0,
2013-14,21,OKC,NBA,SG,78.0,0.0,1538.0,0.432,15.7,0.594,0.182,0.144,0.131,0.136,0.406,0.483,0.685,0.375,0.425,0.386,0.356,0.566,0.898,0.034,21.0,0.271,0.343,3.0,0.0,
2014-15,22,OKC,NBA,SG,47.0,8.0,633.0,0.416,16.0,0.556,0.16,0.148,0.108,0.14,0.444,0.475,0.75,0.459,0.259,0.343,0.342,0.394,0.763,0.02,5.0,0.135,0.267,2.0,0.0,
2015-16,23,CHO,NBA,SG,66.0,0.0,1227.0,0.451,13.7,0.645,0.292,0.118,0.096,0.137,0.355,0.529,0.631,0.45,0.367,0.5,0.309,0.466,0.786,0.027,11.0,0.138,0.32,1.0,0.0,
2016-17,24,CHO,NBA,SG,62.0,5.0,1143.0,0.46,13.8,0.703,0.23,0.161,0.165,0.147,0.297,0.536,0.699,0.481,0.481,0.403,0.281,0.357,0.756,0.033,14.0,0.205,0.133,2.0,0.0,
2017-18,25,CHO,NBA,SG,80.0,18.0,1967.0,0.457,13.9,0.695,0.204,0.177,0.154,0.16,0.305,0.495,0.647,0.442,0.477,0.376,0.37,0.399,0.681,0.025,19.0,0.181,0.435,4.0,0.0,
2018-19,26,CHO,NBA,SG,79.0,55.0,2250.0,0.44,13.5,0.663,0.232,0.229,0.122,0.081,0.337,0.487,0.59,0.379,0.521,0.443,0.348,0.44,0.835,0.023,19.0,0.152,0.54,1.0,1.0,
2019-20,27,IND,NBA,SG,46.0,42.0,1291.0,0.451,15.1,0.67,0.194,0.146,0.146,0.184,0.33,0.508,0.624,0.457,0.543,0.398,0.335,0.368,0.755,0.01,5.0,0.165,0.346,1.0,0.0,
2020-21,28,IND,NBA,SG,36.0,8.0,765.0,0.435,16.4,0.536,0.181,0.159,0.149,0.047,0.464,0.459,0.58,0.364,0.488,0.231,0.406,0.529,0.827,0.0,0.0,0.094,0.417,1.0,0.0,
2021-22,29,2TM,NBA,SF,56.0,0.0,935.0,0.383,16.9,0.51,0.089,0.196,0.147,0.066,0.49,0.441,0.581,0.412,0.412,0.391,0.324,0.346,0.8,0.0,0.0,0.188,0.313,4.0,0.0,
