"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2013-14,22,CHI,NBA,SG,77.0,12.0,1231.0,0.384,17.7,0.47,0.146,0.134,0.042,0.149,0.53,0.456,0.551,0.378,0.357,0.46,0.32,0.569,1.0,0.021,6.0,0.258,0.304,0.0,0.0,
2014-15,23,CHI,NBA,SF,72.0,22.0,1412.0,0.429,16.2,0.469,0.226,0.111,0.03,0.102,0.531,0.494,0.667,0.317,0.273,0.368,0.371,0.535,0.932,0.051,17.0,0.289,0.421,1.0,0.0,
2015-16,24,CHI,NBA,SF,64.0,33.0,1301.0,0.372,15.6,0.543,0.204,0.162,0.035,0.142,0.457,0.38,0.478,0.273,0.667,0.292,0.361,0.457,0.946,0.038,10.0,0.232,0.306,1.0,0.0,
2016-17,25,MIL,NBA,SG,80.0,80.0,2336.0,0.455,19.0,0.344,0.17,0.048,0.052,0.078,0.656,0.548,0.685,0.308,0.464,0.429,0.406,0.657,0.993,0.039,19.0,0.386,0.394,0.0,0.0,
2017-18,26,MIL,NBA,SG,75.0,59.0,2053.0,0.435,18.0,0.369,0.167,0.082,0.052,0.068,0.631,0.49,0.648,0.257,0.409,0.448,0.403,0.623,1.0,0.035,12.0,0.366,0.439,0.0,0.0,
2018-19,27,MIL,NBA,SF,74.0,12.0,1304.0,0.452,16.8,0.435,0.241,0.1,0.047,0.047,0.565,0.522,0.701,0.333,0.294,0.235,0.397,0.732,0.938,0.044,15.0,0.304,0.435,1.0,0.0,
2019-20,28,DET,NBA,SF,59.0,57.0,1641.0,0.445,19.4,0.335,0.102,0.118,0.068,0.047,0.665,0.531,0.692,0.489,0.346,0.556,0.402,0.647,0.892,0.024,9.0,0.374,0.432,1.0,0.0,
2020-21,29,ATL,NBA,SG,47.0,23.0,992.0,0.515,18.6,0.363,0.076,0.152,0.111,0.023,0.637,0.419,0.615,0.346,0.421,0.25,0.569,0.654,0.984,0.012,2.0,0.45,0.551,0.0,0.0,
2021-22,30,2TM,NBA,SG,53.0,12.0,823.0,0.404,19.9,0.251,0.105,0.094,0.035,0.018,0.749,0.558,0.722,0.375,0.5,0.667,0.352,0.75,0.956,0.018,3.0,0.477,0.361,0.0,0.0,
2021-22,30,POR,NBA,SG,38.0,10.0,546.0,0.371,20.8,0.227,0.082,0.072,0.052,0.021,0.773,0.545,0.5,0.429,0.6,1.0,0.32,0.75,0.958,0.01,1.0,0.52,0.385,0.0,0.0,
2021-22,30,NOP,NBA,SG,15.0,2.0,277.0,0.446,18.9,0.284,0.135,0.122,0.014,0.014,0.716,0.571,0.9,0.333,0.0,0.0,0.396,0.75,0.952,0.027,2.0,0.415,0.318,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,601.0,310.0,13093.0,0.431,18.1,0.403,0.169,0.105,0.05,0.08,0.597,0.486,0.64,0.342,0.406,0.398,0.394,0.614,0.962,0.034,93.0,0.347,0.41,4.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,42.0,1786.0,0.431,18.1,0.403,0.169,0.105,0.05,0.08,0.597,0.486,0.64,0.342,0.406,0.398,0.394,0.614,0.962,0.034,13.0,0.347,0.41,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,229.0,151.0,5693.0,0.448,17.9,0.377,0.188,0.073,0.05,0.066,0.623,0.522,0.68,0.299,0.403,0.398,0.403,0.67,0.982,0.039,46.0,0.359,0.418,1.0,0.0,
CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),,213.0,67.0,3944.0,0.396,16.5,0.493,0.193,0.135,0.035,0.13,0.507,0.442,0.574,0.319,0.432,0.375,0.351,0.522,0.957,0.037,33.0,0.262,0.353,2.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,59.0,57.0,1641.0,0.445,19.4,0.335,0.102,0.118,0.068,0.047,0.665,0.531,0.692,0.489,0.346,0.556,0.402,0.647,0.892,0.024,9.0,0.374,0.432,1.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,47.0,23.0,992.0,0.515,18.6,0.363,0.076,0.152,0.111,0.023,0.637,0.419,0.615,0.346,0.421,0.25,0.569,0.654,0.984,0.012,2.0,0.45,0.551,0.0,0.0,
