"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Dwight Powell,,8.2,7.5,6.6,5.1,4.6,3.8,3.6,3.1,3.1,1.7,0.6
Julius Randle,91.8,8.1,7.8,6.6,6.2,6.1,3.8,3.5,3.1,2.7,1.6,-0.1
Metta World Peace,91.6,8.0,7.2,6.7,5.5,5.3,4.7,3.7,2.7,2.3,1.9,1.3
Ryan Anderson,91.5,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,-0.2
Bo Outlaw,90.8,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8
Orlando Woolridge,90.6,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,1.8,0.8
Tristan Thompson,90.0,8.7,7.3,6.8,5.7,5.2,3.1,2.9,2.6,2.5,1.6,1.1
Luis Scola,89.9,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,
Kelly Tripucka,89.6,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,
Udonis Haslem,88.5,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.1,0.9
Aaron Gordon,88.2,7.1,6.8,5.4,5.2,5.1,4.3,3.7,3.7,2.9,1.9,1.0
