Season,Team,Lg,Salary
2007-08,Chicago Bulls,NBA,"$2,135,400"
2008-09,Chicago Bulls,NBA,"$2,295,480"
2009-10,Chicago Bulls,NBA,"$2,455,680"
2010-11,Chicago Bulls,NBA,"$3,128,536"
2011-12,Chicago Bulls,NBA,"$12,000,000"
2012-13,Chicago Bulls,NBA,"$11,300,000"
2013-14,Chicago Bulls,NBA,"$11,100,000"
2014-15,Chicago Bulls,NBA,"$12,200,000"
2015-16,Chicago Bulls,NBA,"$13,400,000"
2016-17,New York Knicks,NBA,"$17,000,000"
2017-18,New York Knicks,NBA,"$17,765,000"
2018-19,New York Knicks,NBA,"$18,530,000"
2018-19,Memphis Grizzlies,NBA,"$1,731,173"
2019-20,New York Knicks,NBA,"$6,431,666"
2019-20,Los Angeles Clippers,NBA,"$434,704"
2020-21,New York Knicks,NBA,"$6,431,667"
2021-22,New York Knicks,NBA,"$6,431,666"
Career,(may be incomplete),,"$144,770,972"
