"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Admiral Schofield,,0.8,0.3,0.1,0.0
A.J. Lawson,94.7,0.8,0.2,0.1,
Connie Norman,86.7,0.8,0.2,0.2,
Morlon Wiley,82.7,0.9,0.2,0.1,0.1
Andre McCarter,81.9,0.8,0.3,0.0,
Sam Jacobson,81.0,0.9,0.2,0.0,
Brandon Goodwin,79.3,0.7,0.2,0.1,0.0
Greg Sutton,77.2,0.8,0.2,-0.1,
Quenton Jackson,76.2,1.0,0.2,0.0,
Kelvin Upshaw,75.6,1.0,0.3,0.3,
Greg Graham,75.3,0.8,0.3,0.3,0.1
