"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Jeff Teague,,8.1,7.7,6.1,6.0,5.9,5.2,4.9,2.5,2.2,1.7,1.6,0.6,,
Mike Newlin,93.6,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,,,
Norm Van Lier,90.8,7.7,7.7,6.0,5.6,5.5,5.2,3.8,3.2,2.1,1.1,,,,
Latrell Sprewell,90.1,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4,
John Starks,90.1,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3.0,2.4,2.1,0.6,0.0,-0.1,
Cuttino Mobley,89.6,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1,,,
Damon Stoudamire,88.9,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1,
Muggsy Bogues,88.8,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1
CJ McCollum,88.8,7.6,6.6,6.0,5.9,5.6,4.7,4.3,4.1,3.6,1.8,1.5,0.2,,
Jo Jo White,88.8,8.0,7.4,7.3,6.7,6.5,6.1,5.4,2.0,1.7,1.5,1.1,0.1,,
Rickey Green,88.4,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1
