Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2012-13,21,TOR,NBA,SG,73.0,2.0,1239.0,10.4,0.491,0.429,0.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,0.0,0.8,0.9,0.034,-1.7,-0.7,-2.5,-0.1,
2013-14,22,TOR,NBA,SG,81.0,62.0,2159.0,12.0,0.553,0.543,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,2.0,2.2,4.2,0.094,0.0,-0.2,-0.2,1.0,
2014-15,23,TOR,NBA,SF,82.0,61.0,2092.0,11.2,0.519,0.518,0.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,1.3,1.0,2.4,0.054,-0.1,-1.3,-1.4,0.3,
2015-16,24,TOR,NBA,SF,73.0,7.0,1747.0,12.9,0.551,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,2.1,1.6,3.6,0.1,0.6,-0.3,0.3,1.0,
2016-17,25,2TM,NBA,SF,78.0,24.0,1955.0,13.4,0.55,0.524,0.103,1.0,10.8,5.9,7.1,2.2,1.4,8.0,19.3,1.5,2.0,3.5,0.086,-0.3,0.1,-0.2,0.9,
2016-17,25,TOR,NBA,SF,54.0,0.0,1207.0,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,1.6,1.3,2.9,0.116,1.1,0.2,1.2,1.0,
2016-17,25,ORL,NBA,SF,24.0,24.0,748.0,11.1,0.536,0.506,0.101,0.6,9.6,5.0,9.0,2.3,1.4,11.2,18.5,0.0,0.6,0.6,0.037,-2.5,0.0,-2.5,-0.1,
2017-18,26,ORL,NBA,SG,24.0,20.0,600.0,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.8,0.1,-2.7,-0.1,
2018-19,27,ORL,NBA,SG,81.0,0.0,2150.0,15.4,0.561,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,1.7,2.6,4.3,0.095,1.1,-0.3,0.8,1.5,6MOY-5
2019-20,28,ORL,NBA,SG,69.0,0.0,1889.0,14.0,0.548,0.596,0.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,0.077,-0.1,-0.3,-0.4,0.8,
2020-21,29,ORL,NBA,SG,46.0,2.0,1347.0,13.2,0.53,0.429,0.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,-0.1,1.0,0.9,0.03,-1.4,-0.8,-2.3,-0.1,
2021-22,30,ORL,NBA,SG,63.0,0.0,1448.0,10.0,0.515,0.477,0.235,1.5,10.3,5.9,12.5,0.9,0.8,10.9,20.5,-0.5,0.9,0.3,0.011,-2.5,-1.1,-3.7,-0.6,
2022-23,31,2TM,NBA,SG,63.0,9.0,1330.0,10.2,0.544,0.555,0.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,0.059,-1.8,-0.3,-2.1,0.0,
2022-23,31,ORL,NBA,SG,42.0,9.0,944.0,8.6,0.543,0.535,0.067,1.2,9.0,5.1,8.1,1.3,0.8,10.7,15.7,-0.1,0.7,0.6,0.032,-2.7,-0.4,-3.1,-0.3,
2022-23,31,PHO,NBA,SG,21.0,0.0,386.0,14.2,0.546,0.59,0.084,3.4,16.7,9.9,15.4,1.3,0.5,3.4,19.7,0.6,0.4,1.0,0.127,0.3,0.2,0.5,0.2,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,733.0,187.0,17956.0,12.4,0.538,0.522,0.142,1.6,11.3,6.4,8.2,1.6,1.1,8.6,20.1,9.3,15.7,25.0,0.067,-0.5,-0.5,-1.0,4.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,21.0,2009.0,12.4,0.538,0.522,0.142,1.6,11.3,6.4,8.2,1.6,1.1,8.6,20.1,1.0,1.8,2.8,0.067,-0.5,-0.5,-1.0,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (7 Yrs),ORL (7 Yrs),ORL (7 Yrs),ORL (7 Yrs),,349.0,55.0,9126.0,12.5,0.54,0.523,0.179,1.1,11.4,6.2,9.9,1.7,1.1,9.1,21.4,1.7,8.3,10.0,0.053,-1.0,-0.5,-1.5,1.1,
TOR (5 Yrs),TOR (5 Yrs),TOR (5 Yrs),TOR (5 Yrs),,363.0,132.0,8444.0,12.2,0.536,0.518,0.1,2.0,11.0,6.5,6.1,1.6,1.1,8.1,18.8,7.0,7.1,14.0,0.08,0.0,-0.5,-0.5,3.2,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,21.0,0.0,386.0,14.2,0.546,0.59,0.084,3.4,16.7,9.9,15.4,1.3,0.5,3.4,19.7,0.6,0.4,1.0,0.127,0.3,0.2,0.5,0.2,
