"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Terrence Ross,,4.3,4.2,3.6,3.5,3.0,2.4,1.6,0.9,0.9,0.3,0.3,
Ron Anderson,93.8,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,,
Luc Mbah a Moute,89.2,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0,0.0
Allan Bristow,87.8,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,,
Austin Croshere,87.6,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0
Nate Williams,87.2,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,
Vladimir RadmanoviÄ,87.1,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0.0
Alvin Scott,86.9,4.4,4.3,4.0,3.8,2.9,1.7,1.2,0.8,,,,
Pat Cummings,86.7,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Ollie Johnson,86.5,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,,
Eduardo NÃ¡jera,86.2,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1
