Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2013-14,24,MIN,NBA,C,60.0,15.0,818.0,16.5,0.534,0.004,0.41,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,0.7,1.5,2.2,0.129,-2.0,0.9,-1.1,0.2,ROY-6
2014-15,25,MIN,NBA,C,73.0,49.0,2193.0,17.2,0.573,0.012,0.477,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15.0,3.4,1.5,4.9,0.108,-0.1,0.3,0.2,1.2,
2015-16,26,MIN,NBA,C,82.0,39.0,2220.0,17.1,0.601,0.035,0.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,3.4,2.5,5.9,0.127,-0.1,0.8,0.8,1.5,
2016-17,27,MIN,NBA,PF,82.0,82.0,2653.0,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,3.2,2.5,5.7,0.103,-0.8,0.6,-0.1,1.3,
2017-18,28,MIN,NBA,C,79.0,0.0,1333.0,14.7,0.543,0.157,0.263,9.1,22.2,15.6,7.5,1.7,2.6,12.0,16.3,1.6,1.3,2.9,0.105,-0.9,-0.1,-1.0,0.3,
2018-19,29,MIN,NBA,C,76.0,2.0,1031.0,18.1,0.572,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,1.5,1.3,2.8,0.132,-0.3,0.9,0.6,0.7,
2019-20,30,2TM,NBA,C,63.0,17.0,1096.0,17.1,0.568,0.418,0.277,8.5,25.8,17.0,9.7,2.2,4.5,12.8,17.6,1.3,1.7,2.9,0.129,-0.2,1.8,1.5,1.0,
2019-20,30,MIN,NBA,C,46.0,17.0,778.0,17.8,0.563,0.433,0.213,9.5,25.8,17.4,11.1,2.2,4.5,12.7,18.4,0.9,1.1,2.1,0.129,0.3,1.5,1.8,0.7,
2019-20,30,MEM,NBA,C,17.0,0.0,318.0,15.5,0.583,0.368,0.483,6.1,26.0,16.2,6.3,2.1,4.7,13.2,15.9,0.3,0.6,0.9,0.13,-1.5,2.5,1.0,0.2,
2020-21,31,2TM,NBA,C,38.0,1.0,552.0,19.2,0.67,0.429,0.411,7.6,19.5,13.5,12.0,2.3,2.6,14.3,17.4,1.3,0.8,2.1,0.185,1.8,1.5,3.4,0.7,
2020-21,31,MEM,NBA,C,22.0,1.0,371.0,19.2,0.682,0.444,0.398,7.9,20.2,14.0,10.6,2.2,3.4,14.8,17.0,0.9,0.6,1.5,0.19,1.8,1.6,3.3,0.5,
2020-21,31,SAS,NBA,C,16.0,0.0,181.0,19.0,0.648,0.4,0.436,6.9,18.0,12.3,15.0,2.4,0.9,13.2,18.2,0.4,0.2,0.7,0.175,2.0,1.5,3.5,0.2,
2021-22,32,ATL,NBA,C,44.0,3.0,371.0,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,0.155,1.4,0.8,2.1,0.4,
2022-23,33,SAS,NBA,C,31.0,1.0,358.0,9.9,0.493,0.641,0.111,7.9,25.4,16.3,19.4,0.5,3.2,20.7,17.9,-0.2,0.2,0.0,0.001,-4.0,0.1,-3.9,-0.2,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,628.0,209.0,12625.0,16.2,0.572,0.158,0.333,9.2,22.4,15.7,9.8,1.8,3.6,14.6,16.2,17.0,13.7,30.7,0.117,-0.4,0.7,0.2,7.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,27.0,1648.0,16.2,0.572,0.158,0.333,9.2,22.4,15.7,9.8,1.8,3.6,14.6,16.2,2.2,1.8,4.0,0.117,-0.4,0.7,0.2,0.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (7 Yrs),MIN (7 Yrs),MIN (7 Yrs),MIN (7 Yrs),,498.0,204.0,11026.0,16.2,0.567,0.102,0.337,9.4,22.3,15.8,9.4,1.9,3.6,14.5,16.1,14.8,11.7,26.5,0.115,-0.5,0.6,0.1,5.9,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,47.0,1.0,539.0,13.0,0.547,0.564,0.215,7.6,22.9,15.0,17.9,1.2,2.5,18.2,18.0,0.2,0.5,0.7,0.059,-2.0,0.6,-1.4,0.1,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,39.0,1.0,689.0,17.5,0.637,0.41,0.436,7.1,22.9,15.0,8.6,2.1,4.0,14.1,16.5,1.2,1.1,2.3,0.163,0.3,2.0,2.2,0.7,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,44.0,3.0,371.0,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,0.155,1.4,0.8,2.1,0.4,
