Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2006-07,19,MIL,NBA,PF,66,14,973,7.4,19.4,.383,2.9,7.9,.365,4.5,11.5,.395,.457,3.7,4.8,.787,3.1,7.0,10.1,2.6,1.4,0.9,2.7,7.9,21.5,102,111,
2007-08,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,22,MIL,NBA,PF,81,31,1898,8.9,20.1,.443,2.2,6.6,.336,6.7,13.5,.496,.499,3.1,4.4,.715,4.3,9.9,14.3,2.3,1.5,0.6,2.0,6.9,23.2,110,102,
2010-11,23,MIL,NBA,PF,60,34,1505,7.9,18.0,.436,1.3,4.3,.298,6.6,13.7,.479,.471,3.3,3.7,.894,3.7,9.2,13.0,2.0,1.8,0.9,2.2,5.6,20.3,105,101,
2011-12,24,MIL,NBA,PF,60,41,1655,9.1,18.5,.492,1.6,3.5,.455,7.5,15.0,.501,.535,4.4,5.7,.781,6.1,10.3,16.4,2.2,1.3,1.4,2.4,4.1,24.2,118,103,
2012-13,25,MIL,NBA,PF,73,54,2012,9.3,20.2,.462,2.4,5.4,.444,7.0,14.8,.469,.521,3.1,4.0,.796,3.9,9.2,13.1,2.9,1.7,0.9,1.9,4.7,24.2,114,104,
2013-14,26,MIL,NBA,PF,55,47,1478,8.4,20.5,.409,1.3,4.6,.282,7.1,15.9,.446,.441,3.8,4.6,.823,3.8,8.3,12.1,2.5,1.6,0.3,2.2,4.8,21.9,103,111,
2014-15,27,MIL,NBA,PF,58,36,1319,10.2,21.5,.472,2.9,7.3,.389,7.3,14.2,.515,.539,2.7,4.1,.645,3.1,7.6,10.7,2.2,1.4,0.7,1.7,5.8,25.9,111,103,
2015-16,28,2TM,NBA,PF,74,56,1881,7.5,17.7,.424,2.6,6.9,.371,4.9,10.8,.458,.496,3.0,4.1,.721,3.9,6.9,10.8,1.8,1.4,0.9,1.9,4.6,20.5,109,106,
2015-16,28,DET,NBA,PF,52,52,1434,7.6,17.9,.425,2.7,7.6,.363,4.9,10.3,.471,.502,2.8,3.8,.725,3.5,6.4,9.9,1.9,1.3,1.0,2.1,4.2,20.7,109,106,
2015-16,28,ORL,NBA,PF,22,4,447,7.2,17.1,.418,2.0,4.9,.409,5.1,12.2,.422,.477,3.6,5.0,.711,5.0,8.5,13.5,1.3,1.6,0.7,1.3,5.7,19.9,111,107,
2016-17,29,3TM,NBA,PF,82,52,2142,8.8,20.3,.431,3.2,9.2,.353,5.5,11.1,.496,.511,3.7,4.7,.778,2.6,8.4,11.0,3.2,1.3,0.5,2.6,4.8,24.4,107,108,
2016-17,29,OKC,NBA,PF,3,0,62,4.7,12.7,.375,2.4,9.5,.250,2.4,3.2,.750,.469,0.0,0.0,,1.6,11.1,12.7,0.8,2.4,0.8,3.2,4.0,11.9,83,104,
2016-17,29,PHI,NBA,PF,53,40,1447,9.6,21.8,.440,3.6,10.0,.359,6.0,11.8,.509,.522,3.7,4.8,.768,2.4,8.2,10.6,3.3,1.1,0.5,2.6,4.5,26.5,107,110,
2016-17,29,ATL,NBA,PF,26,12,633,7.2,17.6,.412,2.5,7.2,.348,4.8,10.4,.455,.482,4.0,5.1,.800,3.3,8.5,11.8,3.3,1.7,0.6,2.6,5.7,21.0,107,105,
2017-18,30,2TM,NBA,PF,69,43,1729,7.8,17.2,.452,2.6,7.1,.360,5.2,10.1,.517,.526,3.0,3.8,.778,3.3,8.1,11.4,2.5,1.7,0.7,2.0,4.4,21.1,111,108,
2017-18,30,ATL,NBA,PF,46,40,1175,7.6,16.7,.459,2.5,7.1,.359,5.1,9.6,.532,.535,3.0,3.7,.800,3.1,7.4,10.4,2.1,1.8,0.7,1.8,3.8,20.8,113,110,
