"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Byron Mullens,,0.5,0.2,0.1,-0.1,-0.2
Mike Smrek,59.2,0.4,0.4,0.1,-0.1,-0.2
Kyrylo Fesenko,58.0,0.6,0.3,0.1,0.0,-0.1
Chuck Nevitt,54.6,0.5,0.1,0.1,0.0,-0.2
Daniel Orton,48.6,0.5,0.3,0.3,,
Micah Potter,42.0,0.4,0.3,0.2,0.0,
Tacko Fall,40.0,0.5,0.2,0.1,,
Uwe Blab,38.1,0.5,0.3,0.1,-0.1,-0.4
Dwayne Schintzius,37.9,0.4,0.2,0.2,0.1,-0.1
Alan Ogg,36.9,0.5,0.3,0.0,,
Jabari Smith,29.3,0.7,0.5,0.2,0.0,
