"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Delon Wright,,4.5,4.4,4.3,4.3,3.7,3.6,1.7,1.1,0.7,0.6
Don Ohl,92.0,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8
Ramon Sessions,89.0,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7
Tyreke Evans,88.2,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Bob Weiss,88.0,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0.0
Allen Leavell,86.8,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1
Matt Guokas,85.9,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3
Jason Williams,85.8,5.4,4.8,4.7,4.3,4.3,3.8,2.1,2.1,1.5,0.9
T.R. Dunn,85.2,4.9,4.4,4.4,4.1,4.0,3.7,3.3,2.4,1.6,1.6
Sherman Douglas,84.7,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,-0.1
Ricky Davis,84.3,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2
