"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Cameron Payne,,3.6,2.4,2.3,1.9,1.4,1.1,0.8,0.5,0.5,-0.3
Quintin Dailey,87.2,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
Landry Shamet,85.2,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,
Garrett Temple,85.0,2.7,2.4,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Robert Pack,84.9,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.4,-0.6
Kevin Ollie,83.6,3.8,2.4,2.4,1.4,1.1,0.9,0.6,0.1,0.0,-0.1
Lonzo Ball,83.5,3.2,2.4,2.2,2.0,1.6,1.2,,,,
Marquis Daniels,83.0,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1
Kent Bazemore,82.7,4.1,2.2,2.1,1.8,1.6,0.7,0.6,0.2,0.1,0.1
Jordan Farmar,82.5,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0.0
Keyon Dooling,82.3,3.7,3.7,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0.0
