Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2003-04,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2004-05,24,SEA,NBA,C,82,4,1396,15.0,.570,.008,.333,13.7,19.2,16.5,3.9,1.3,2.8,13.3,15.5,2.7,1.2,3.9,.135,-1.3,-0.4,-1.7,0.1,
2005-06,25,SEA,NBA,PF,66,27,1448,14.0,.556,.008,.287,11.8,19.0,15.4,8.1,0.8,1.9,14.8,16.1,2.2,0.1,2.3,.075,-1.1,-2.1,-3.2,-0.4,
2006-07,26,SEA,NBA,C,82,56,2378,14.2,.546,.003,.313,11.4,22.2,16.8,5.4,1.1,2.1,14.5,16.2,2.8,1.8,4.6,.093,-1.4,-1.0,-2.4,-0.3,
2007-08,27,SEA,NBA,PF,78,35,2223,15.0,.537,.003,.261,12.5,23.3,17.9,7.9,1.1,1.9,14.2,16.2,2.2,2.3,4.5,.098,-1.2,-0.2,-1.4,0.3,
2008-09,28,OKC,NBA,C,71,40,1831,14.8,.599,.005,.318,11.2,19.7,15.4,5.8,1.4,2.0,13.0,13.5,3.0,2.0,5.0,.130,-1.5,0.3,-1.2,0.4,
2009-10,29,OKC,NBA,C,75,5,1557,13.1,.616,.013,.346,11.5,16.7,14.2,3.7,1.2,2.3,15.0,12.1,2.6,2.2,4.7,.146,-1.9,0.8,-1.2,0.3,
2010-11,30,OKC,NBA,C,71,2,1524,10.8,.600,.000,.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,2.1,1.5,3.6,.113,-1.9,0.7,-1.2,0.3,
2011-12,31,OKC,NBA,PF,63,0,1307,12.1,.622,.005,.308,11.1,12.7,12.0,9.3,1.3,1.6,21.1,10.0,2.3,1.2,3.5,.130,-0.5,0.7,0.2,0.7,
2012-13,32,OKC,NBA,C,81,2,1583,13.6,.624,.014,.264,9.6,14.2,12.1,11.3,1.7,1.4,17.3,11.5,3.2,2.1,5.2,.158,-0.2,1.1,0.9,1.2,
2013-14,33,OKC,NBA,PF,81,0,1353,11.8,.599,.071,.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,2.0,1.6,3.6,.128,-1.3,0.5,-0.9,0.4,
2014-15,34,OKC,NBA,PF,66,2,1101,11.2,.485,.237,.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,1.0,1.2,2.2,.097,-1.9,0.9,-1.0,0.3,
2015-16,35,OKC,NBA,PF,59,4,699,7.7,.498,.018,.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,0.1,0.7,0.8,.053,-3.6,0.5,-3.1,-0.2,
2016-17,36,OKC,NBA,PF,20,0,128,12.9,.622,.043,.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,.145,-1.3,1.1,-0.2,0.1,
2017-18,37,OKC,NBA,PF,15,0,75,13.2,.627,.000,.684,10.0,19.9,14.8,8.2,0.0,0.0,22.1,18.2,0.1,0.0,0.1,.064,-2.3,-1.9,-4.2,0.0,
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,910,177,18603,13.2,.570,.024,.305,11.1,17.9,14.5,7.6,1.2,1.9,15.7,13.4,26.4,18.1,44.5,.115,-1.4,0.1,-1.3,3.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,16,1676,13.2,.570,.024,.305,11.1,17.9,14.5,7.6,1.2,1.9,15.7,13.4,2.4,1.6,4.0,.115,-1.4,0.1,-1.3,0.3,
