Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2017-18,23,ORL,NBA,SF,62.0,12.0,1020.0,7.8,0.48,0.211,0.216,3.9,11.0,7.4,7.8,1.6,0.9,11.2,11.6,0.0,0.7,0.7,0.032,-4.2,-0.1,-4.3,-0.6,
2018-19,24,ORL,NBA,SF,68.0,13.0,1233.0,8.7,0.531,0.288,0.376,3.2,13.0,8.0,7.9,1.1,1.5,12.1,12.8,0.5,1.4,1.9,0.073,-3.8,0.6,-3.2,-0.4,
2019-20,25,ORL,NBA,SF,52.0,21.0,953.0,10.3,0.544,0.352,0.416,2.6,12.5,7.4,8.8,1.3,1.2,8.6,13.7,0.8,0.8,1.7,0.084,-2.7,0.0,-2.6,-0.2,
2020-21,26,2TM,NBA,SF,41.0,4.0,539.0,4.3,0.428,0.402,0.304,3.0,15.2,9.1,4.2,1.4,0.7,14.1,10.8,-0.5,0.4,0.0,-0.003,-6.1,-0.3,-6.3,-0.6,
2020-21,26,DAL,NBA,SF,23.0,3.0,288.0,4.9,0.421,0.442,0.269,2.3,14.4,8.4,4.4,1.5,1.0,9.4,9.9,-0.2,0.3,0.1,0.015,-5.5,0.5,-4.9,-0.2,
2020-21,26,NOP,NBA,SF,18.0,1.0,251.0,3.7,0.435,0.36,0.34,3.9,16.0,9.9,3.9,1.1,0.4,18.4,11.8,-0.3,0.2,-0.1,-0.025,-6.8,-1.2,-7.9,-0.4,
2021-22,27,ATL,NBA,SF,3.0,1.0,82.0,7.1,0.557,0.278,0.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,0.1,0.0,0.1,0.046,-4.1,-2.7,-6.8,-0.1,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,226.0,51.0,3827.0,8.2,0.51,0.299,0.334,3.2,12.6,7.9,7.4,1.3,1.1,11.0,12.4,0.9,3.3,4.2,0.053,-4.0,0.1,-3.9,-1.8,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,19.0,1389.0,8.2,0.51,0.299,0.334,3.2,12.6,7.9,7.4,1.3,1.1,11.0,12.4,0.3,1.2,1.5,0.053,-4.0,0.1,-3.9,-0.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,182.0,46.0,3206.0,8.9,0.521,0.286,0.341,3.2,12.2,7.6,8.2,1.3,1.2,10.7,12.7,1.3,2.9,4.2,0.063,-3.6,0.2,-3.4,-1.1,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,23.0,3.0,288.0,4.9,0.421,0.442,0.269,2.3,14.4,8.4,4.4,1.5,1.0,9.4,9.9,-0.2,0.3,0.1,0.015,-5.5,0.5,-4.9,-0.2,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,18.0,1.0,251.0,3.7,0.435,0.36,0.34,3.9,16.0,9.9,3.9,1.1,0.4,18.4,11.8,-0.3,0.2,-0.1,-0.025,-6.8,-1.2,-7.9,-0.4,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,3.0,1.0,82.0,7.1,0.557,0.278,0.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,0.1,0.0,0.1,0.046,-4.1,-2.7,-6.8,-0.1,
