"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Ricky Rubio,,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,1.3,0.7,0.5
Jameer Nelson,92.8,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5
Derek Fisher,90.5,5.8,5.7,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Brian Winters,89.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,
Aaron McKie,88.1,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1
D.J. Augustin,87.8,6.9,6.2,6.2,5.1,4.1,3.4,2.9,2.8,2.8,2.6,1.2,0.5
J.R. Smith,87.6,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Lou Williams,87.6,6.6,6.1,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1
Bojan BogdanoviÄ,87.1,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,
Johnny Davis,86.7,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,
John Paxson,86.6,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,
