Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2008-09,23,ORL,NBA,SG,77.0,42.0,1939.0,10.7,0.556,0.376,0.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,1.3,3.1,4.4,0.108,-2.1,1.9,-0.1,0.9,ROY-11
2009-10,24,NJN,NBA,SG,71.0,66.0,2375.0,12.8,0.525,0.29,0.197,2.8,9.7,6.1,9.0,2.1,0.6,8.3,17.7,1.8,1.3,3.1,0.063,-1.0,-0.4,-1.4,0.4,
2010-11,25,HOU,NBA,SG,81.0,1.0,1723.0,12.6,0.534,0.302,0.208,3.3,10.4,6.9,8.9,1.7,0.7,9.8,17.9,1.6,1.1,2.7,0.076,-0.7,-0.5,-1.1,0.4,
2011-12,26,HOU,NBA,SG,58.0,26.0,1757.0,12.6,0.534,0.374,0.148,1.7,8.9,5.2,7.9,2.0,0.9,9.4,17.6,1.8,1.4,3.2,0.087,-0.4,0.3,0.0,0.9,
2012-13,27,BOS,NBA,SG,78.0,39.0,1941.0,11.7,0.545,0.294,0.136,1.9,9.4,5.8,11.7,2.4,0.9,13.0,15.7,0.9,2.4,3.3,0.082,-1.8,1.2,-0.5,0.7,
2013-14,28,2TM,NBA,SG,79.0,47.0,1973.0,13.8,0.574,0.316,0.182,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17.0,2.8,1.9,4.7,0.114,0.1,0.8,0.9,1.5,
2013-14,28,BOS,NBA,SG,30.0,0.0,504.0,14.6,0.573,0.284,0.12,1.8,9.5,5.5,10.9,2.0,1.4,11.5,19.2,0.6,0.4,1.0,0.094,0.8,0.8,1.6,0.5,
2013-14,28,MEM,NBA,SG,49.0,47.0,1469.0,13.5,0.574,0.329,0.209,1.7,9.5,5.6,8.7,1.6,1.1,9.3,16.3,2.2,1.5,3.7,0.12,-0.2,0.8,0.7,1.0,
2014-15,29,MEM,NBA,SG,77.0,74.0,2354.0,11.5,0.555,0.348,0.201,1.0,7.6,4.3,9.8,1.7,0.4,10.0,15.2,2.5,2.4,4.8,0.099,-1.0,0.5,-0.5,0.9,
2015-16,30,2TM,NBA,SG,79.0,65.0,2334.0,11.5,0.551,0.34,0.185,1.4,8.7,4.9,9.1,1.9,1.1,9.4,14.7,2.1,1.7,3.9,0.08,-1.3,0.3,-1.0,0.6,
2015-16,30,MEM,NBA,SG,51.0,37.0,1489.0,11.7,0.556,0.329,0.22,1.4,7.9,4.5,8.1,1.8,1.0,9.6,15.3,1.5,0.8,2.2,0.072,-0.9,-0.1,-0.9,0.4,
2015-16,30,CHO,NBA,SG,28.0,28.0,845.0,11.2,0.54,0.359,0.118,1.3,10.1,5.6,10.9,2.0,1.2,9.0,13.6,0.7,1.0,1.6,0.093,-2.1,1.1,-1.0,0.2,
2016-17,31,NYK,NBA,SG,77.0,74.0,2459.0,12.2,0.559,0.382,0.139,2.3,9.0,5.7,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,-0.7,-0.2,-0.9,0.7,
2017-18,32,NYK,NBA,SG,76.0,69.0,2310.0,13.0,0.564,0.368,0.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.082,-0.1,-0.2,-0.3,1.0,
2018-19,33,2TM,NBA,SG,34.0,6.0,428.0,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-2.5,-0.1,
2018-19,33,NYK,NBA,SG,12.0,2.0,160.0,13.7,0.527,0.34,0.298,3.8,14.1,8.8,15.1,2.4,1.1,8.6,15.5,0.2,0.1,0.3,0.087,-1.8,1.1,-0.8,0.0,
2018-19,33,DAL,NBA,SG,22.0,4.0,268.0,8.3,0.47,0.476,0.085,1.2,9.5,5.4,11.4,2.4,0.3,9.6,15.1,-0.1,0.3,0.2,0.028,-4.3,0.7,-3.6,-0.1,
2019-20,34,DAL,NBA,SG,24.0,9.0,345.0,10.8,0.629,0.573,0.085,2.2,7.5,4.9,4.7,2.5,1.5,11.4,11.9,0.3,0.3,0.7,0.092,-2.1,1.5,-0.6,0.1,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,811.0,518.0,21938.0,12.2,0.549,0.344,0.173,1.9,9.1,5.5,9.6,1.9,0.8,9.7,16.1,20.9,18.4,39.3,0.086,-1.0,0.4,-0.6,7.9,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,52.0,2218.0,12.2,0.549,0.344,0.173,1.9,9.1,5.5,9.6,1.9,0.8,9.7,16.1,2.1,1.9,4.0,0.086,-1.0,0.4,-0.6,0.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,177.0,158.0,5312.0,12.1,0.561,0.338,0.208,1.3,8.2,4.7,9.0,1.7,0.8,9.7,15.5,6.1,4.6,10.8,0.097,-0.7,0.4,-0.3,2.2,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,165.0,145.0,4929.0,12.6,0.56,0.374,0.157,2.0,9.3,5.6,11.1,1.7,0.7,8.9,15.6,6.0,2.4,8.4,0.082,-0.5,-0.2,-0.6,1.7,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,139.0,27.0,3480.0,12.6,0.534,0.338,0.178,2.5,9.6,6.1,8.4,1.9,0.8,9.6,17.7,3.4,2.5,5.9,0.081,-0.5,-0.1,-0.6,1.2,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,108.0,39.0,2445.0,12.3,0.552,0.292,0.132,1.9,9.4,5.7,11.5,2.3,1.0,12.6,16.4,1.5,2.8,4.3,0.085,-1.2,1.1,-0.1,1.2,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,46.0,13.0,613.0,9.7,0.549,0.524,0.085,1.7,8.4,5.1,7.6,2.4,1.0,10.5,13.3,0.2,0.6,0.8,0.064,-3.1,1.2,-1.9,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,77.0,42.0,1939.0,10.7,0.556,0.376,0.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,1.3,3.1,4.4,0.108,-2.1,1.9,-0.1,0.9,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,71.0,66.0,2375.0,12.8,0.525,0.29,0.197,2.8,9.7,6.1,9.0,2.1,0.6,8.3,17.7,1.8,1.3,3.1,0.063,-1.0,-0.4,-1.4,0.4,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,28.0,28.0,845.0,11.2,0.54,0.359,0.118,1.3,10.1,5.6,10.9,2.0,1.2,9.0,13.6,0.7,1.0,1.6,0.093,-2.1,1.1,-1.0,0.2,
