"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jodie Meeks,,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.3,0.1,,,
Earl Boykins,90.3,6.0,4.5,4.1,3.5,2.9,2.3,1.0,1.0,0.8,0.3,0.1,0.0,-0.3
Chris Duhon,90.3,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,,,,
Matt Guokas,88.6,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,,
Quinn Buckner,88.4,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5,0.2,,,
Henry Bibby,88.2,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
Pooh Richardson,87.8,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,,
Will Barton,87.7,6.2,4.3,4.2,3.3,3.2,2.2,1.3,1.2,0.6,0.4,-0.5,,
Carlos Delfino,87.5,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,,,
Kevin Grevey,87.5,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,
Jeremy Lin,86.9,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0.0,,,,
