Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,22,CHI,NBA,PG,6.0,5.0,26.5,1.8,6.2,0.297,1.0,3.7,0.273,0.8,2.5,0.333,0.378,1.5,1.8,0.818,1.0,3.3,4.3,3.5,0.3,0.0,2.0,1.0,6.2,
2005-06,23,CHI,NBA,PG,6.0,0.0,21.8,1.5,4.2,0.36,1.2,2.7,0.438,0.3,1.5,0.222,0.5,0.8,1.0,0.833,0.2,2.5,2.7,2.2,0.3,0.0,0.8,2.2,5.0,
2006-07,24,CHI,NBA,PG,9.0,0.0,19.1,1.0,3.4,0.29,0.7,2.1,0.316,0.3,1.3,0.25,0.387,0.9,1.1,0.8,0.3,1.4,1.8,2.3,0.3,0.1,0.8,1.3,3.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,28,ORL,NBA,PG,1.0,0.0,4.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
2011-12,29,ORL,NBA,PG,5.0,0.0,12.2,0.2,1.0,0.2,0.2,0.6,0.333,0.0,0.4,0.0,0.3,0.0,0.4,0.0,0.0,1.4,1.4,1.8,1.0,0.2,1.4,1.0,0.6,
2012-13,30,LAL,NBA,PG,2.0,0.0,34.0,2.0,5.5,0.364,1.5,4.0,0.375,0.5,1.5,0.333,0.5,0.0,0.0,,0.5,1.0,1.5,3.5,1.0,0.5,2.5,2.0,5.5,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,29.0,5.0,20.5,1.2,3.8,0.315,0.8,2.4,0.343,0.4,1.4,0.268,0.423,0.8,1.1,0.774,0.4,2.0,2.3,2.4,0.5,0.1,1.2,1.4,4.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),,21.0,5.0,22.0,1.4,4.4,0.312,0.9,2.7,0.333,0.5,1.7,0.278,0.414,1.0,1.3,0.815,0.5,2.3,2.8,2.6,0.3,0.0,1.1,1.5,4.7,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,6.0,0.0,10.8,0.3,1.2,0.286,0.3,0.8,0.4,0.0,0.3,0.0,0.429,0.3,0.7,0.5,0.0,1.2,1.2,1.5,0.8,0.2,1.2,0.8,1.3,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,2.0,0.0,34.0,2.0,5.5,0.364,1.5,4.0,0.375,0.5,1.5,0.333,0.5,0.0,0.0,,0.5,1.0,1.5,3.5,1.0,0.5,2.5,2.0,5.5,
