Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2012-13,19,ORL,NBA,SF,76.0,59.0,1974.0,12.5,0.504,0.207,0.227,7.0,12.2,9.6,3.9,2.3,2.4,10.0,15.9,0.7,1.7,2.4,0.059,-1.6,0.3,-1.3,0.4,
2013-14,20,ORL,NBA,SF,80.0,41.0,1950.0,11.8,0.542,0.319,0.296,4.0,11.4,7.7,6.4,2.5,2.0,13.6,14.8,0.6,2.1,2.8,0.068,-1.5,1.1,-0.4,0.8,
2014-15,21,ORL,NBA,SF,45.0,4.0,674.0,8.4,0.449,0.354,0.259,6.3,11.6,8.9,5.4,2.4,1.1,13.3,13.7,-0.3,0.6,0.3,0.021,-3.8,0.2,-3.6,-0.3,
2015-16,22,POR,NBA,SF,78.0,14.0,1457.0,13.3,0.541,0.341,0.27,7.5,13.3,10.4,6.9,1.7,1.9,11.9,15.6,1.6,1.3,2.9,0.096,-0.5,0.0,-0.5,0.5,
2016-17,23,POR,NBA,SF,77.0,69.0,2223.0,13.1,0.57,0.311,0.199,6.2,10.8,8.5,5.9,1.9,2.5,11.2,15.2,2.3,1.9,4.2,0.091,-0.8,0.1,-0.6,0.8,
2017-18,24,POR,NBA,SF,59.0,37.0,1264.0,12.6,0.596,0.397,0.199,4.0,9.9,7.0,6.0,1.9,2.8,11.0,12.6,1.6,1.7,3.2,0.123,-0.4,1.7,1.4,1.1,
2018-19,25,POR,NBA,SF,60.0,53.0,1415.0,13.2,0.547,0.309,0.188,5.9,14.1,10.1,7.1,2.3,3.0,9.7,13.9,1.5,1.9,3.4,0.114,-1.0,1.7,0.7,1.0,
2019-20,26,2TM,NBA,PF,62.0,48.0,1427.0,9.8,0.572,0.346,0.233,4.1,13.3,8.8,6.4,1.9,2.1,14.5,10.7,0.8,1.9,2.7,0.09,-2.6,1.9,-0.7,0.5,
2019-20,26,LAC,NBA,PF,50.0,38.0,1141.0,9.7,0.584,0.336,0.194,4.4,13.6,9.1,5.5,2.0,2.3,16.3,10.3,0.5,1.7,2.3,0.095,-2.5,2.4,0.0,0.6,
2019-20,26,NYK,NBA,SF,12.0,10.0,286.0,10.1,0.536,0.379,0.364,2.9,12.3,7.5,9.7,1.5,1.0,8.4,12.4,0.2,0.2,0.4,0.069,-3.2,-0.3,-3.5,-0.1,
2020-21,27,2TM,NBA,SF,37.0,23.0,772.0,8.1,0.527,0.509,0.261,1.9,11.1,6.4,7.3,1.9,2.3,10.7,11.5,0.2,0.4,0.6,0.038,-3.8,0.1,-3.7,-0.3,
2020-21,27,MIA,NBA,SF,11.0,3.0,124.0,4.6,0.54,0.846,0.154,1.9,10.0,6.0,7.3,0.8,3.4,17.8,6.1,0.0,0.1,0.1,0.046,-3.5,0.7,-2.8,0.0,
2020-21,27,SAC,NBA,PF,26.0,20.0,648.0,8.8,0.526,0.48,0.27,1.9,11.3,6.5,7.3,2.1,2.1,10.1,12.6,0.1,0.3,0.5,0.036,-3.8,0.0,-3.8,-0.3,
2021-22,28,SAC,NBA,SF,47.0,24.0,863.0,7.7,0.561,0.558,0.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,-0.1,0.6,0.5,0.026,-3.7,0.4,-3.3,-0.3,
