"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Francisco GarcÃ­a,,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,,,
Justin Holiday,92.4,4.2,3.1,2.5,2.1,1.8,1.7,1.4,1.3,0.6,0.1,-0.1,,
Andrea Bargnani,87.7,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,,,
Mike Sanders,86.4,3.9,3.1,2.7,2.0,1.8,1.2,1.0,0.8,0.8,0.6,0.1,,
Darius Songaila,85.3,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,,,,,
Matt Bullard,84.4,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1,,
Glen Davis,84.0,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,,,
Rasual Butler,83.8,4.6,2.7,2.6,2.6,1.7,1.7,1.6,1.3,1.2,1.1,0.1,-0.1,-0.2
Barry Clemens,83.8,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1,,
Omri Casspi,83.1,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,,,
Chucky Brown,83.0,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0.0
