"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Von Wafer,,2.6,1.1,0.4,0.0,-0.3,-0.5
Shaedon Sharpe,70.3,3.0,1.2,0.5,,,
Jaylen Nowell,69.9,2.8,1.2,0.7,0.2,0.1,-0.2
A.J. Green,69.6,2.8,1.1,0.8,,,
Terrance Ferguson,68.8,2.8,1.2,0.6,-0.2,,
Johnny McCarthy,68.0,2.6,1.9,0.5,0.2,-0.1,-0.4
Max Christie,67.4,2.7,0.7,0.6,,,
Bones Hyland,67.2,2.4,1.4,0.5,0.0,,
Harold Ellis,65.1,2.8,0.9,0.9,,,
Kenny Rollins,63.9,2.6,1.5,0.1,,,
Kevin O'Shea,63.3,2.1,1.2,0.5,,,
