Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,21,CLE,NBA,SF,13,13,604,13.5,28.4,.476,1.9,5.8,.333,11.6,22.6,.512,.510,8.1,10.9,.737,2.0,7.7,9.7,7.0,1.7,0.8,6.0,4.1,37.1,108,107,
2006-07,22,CLE,NBA,SF,20,20,893,10.4,25.0,.416,1.3,4.7,.280,9.1,20.3,.448,.442,9.3,12.3,.755,1.6,8.5,10.1,10.0,2.1,0.6,4.1,2.5,31.4,109,99,
2007-08,23,CLE,NBA,SF,13,13,552,11.4,27.8,.411,1.8,7.1,.257,9.6,20.7,.463,.444,12.3,16.9,.731,1.6,8.7,10.3,10.0,2.3,1.7,5.5,3.3,37.0,107,99,
2008-09,24,CLE,NBA,SF,14,14,580,15.3,30.0,.510,2.6,7.8,.333,12.7,22.2,.571,.553,14.3,19.1,.749,1.8,10.5,12.3,9.8,2.2,1.2,3.7,2.9,47.5,128,100,
2009-10,25,CLE,NBA,SF,11,11,460,11.9,23.8,.502,2.3,5.6,.400,9.7,18.1,.534,.550,9.9,13.5,.733,1.7,9.8,11.5,9.5,2.1,2.3,4.7,2.6,36.1,117,103,
2010-11,26,MIA,NBA,SF,21,21,922,10.5,22.5,.466,1.8,5.1,.353,8.7,17.4,.500,.507,7.2,9.4,.763,2.1,8.6,10.6,7.4,2.1,1.5,4.0,3.4,30.0,113,102,
2011-12,27,MIA,NBA,SF,23,23,983,13.9,27.8,.500,1.2,4.7,.259,12.7,23.1,.549,.522,9.6,13.0,.739,3.0,9.4,12.4,7.2,2.4,0.9,4.5,2.6,38.7,116,99,Finals MVP-1
2012-13,28,MIA,NBA,PF,23,23,960,12.1,24.7,.491,2.1,5.5,.375,10.1,19.2,.524,.532,7.8,10.0,.777,2.1,8.9,11.0,8.7,2.3,1.0,4.0,2.5,34.1,118,101,Finals MVP-1
2013-14,29,MIA,NBA,PF,20,20,763,14.0,24.8,.565,2.6,6.3,.407,11.5,18.5,.618,.616,9.4,11.7,.806,1.0,9.3,10.3,6.9,2.6,0.8,4.5,3.4,40.0,124,107,
2014-15,30,CLE,NBA,SF,20,20,844,14.2,34.1,.417,1.6,6.9,.227,12.7,27.2,.465,.440,7.6,10.5,.731,2.3,11.8,14.2,10.6,2.1,1.3,5.1,3.6,37.7,105,99,
