"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,21,TOR,NBA,SG,73.0,2.0,1239.0,0.407,17.5,0.571,0.166,0.088,0.072,0.245,0.429,0.464,0.697,0.575,0.364,0.295,0.332,0.57,0.938,0.094,38.0,0.291,0.263,2.0,0.0,
2013-14,22,TOR,NBA,SG,81.0,62.0,2159.0,0.423,18.2,0.457,0.125,0.113,0.097,0.121,0.543,0.458,0.649,0.459,0.411,0.297,0.395,0.541,0.95,0.039,25.0,0.331,0.415,5.0,1.0,
2014-15,23,TOR,NBA,SF,82.0,61.0,2092.0,0.41,17.5,0.482,0.134,0.094,0.104,0.15,0.518,0.452,0.584,0.324,0.423,0.434,0.372,0.579,0.931,0.05,33.0,0.346,0.407,2.0,0.0,
2015-16,24,TOR,NBA,SF,73.0,7.0,1747.0,0.431,18.9,0.458,0.086,0.061,0.123,0.19,0.542,0.484,0.704,0.474,0.468,0.395,0.386,0.54,0.947,0.035,22.0,0.295,0.38,2.0,0.0,
2016-17,25,2TM,NBA,SF,78.0,24.0,1955.0,0.437,18.9,0.476,0.105,0.088,0.113,0.168,0.524,0.518,0.654,0.515,0.464,0.48,0.363,0.511,0.859,0.044,29.0,0.215,0.345,3.0,0.0,
2016-17,25,TOR,NBA,SF,54.0,0.0,1207.0,0.441,18.9,0.466,0.115,0.081,0.106,0.159,0.534,0.516,0.673,0.538,0.431,0.461,0.375,0.435,0.823,0.052,22.0,0.242,0.387,2.0,0.0,
2016-17,25,ORL,NBA,SF,24.0,24.0,748.0,0.431,19.0,0.494,0.086,0.101,0.124,0.184,0.506,0.523,0.609,0.481,0.515,0.51,0.341,0.638,0.935,0.03,7.0,0.163,0.227,1.0,0.0,
2017-18,26,ORL,NBA,SG,24.0,20.0,600.0,0.398,17.7,0.513,0.126,0.099,0.141,0.147,0.487,0.469,0.75,0.263,0.333,0.5,0.323,0.674,0.867,0.037,6.0,0.204,0.579,2.0,0.0,
2018-19,27,ORL,NBA,SG,81.0,0.0,2150.0,0.428,20.7,0.449,0.068,0.049,0.104,0.228,0.551,0.484,0.7,0.46,0.43,0.449,0.383,0.713,0.765,0.028,24.0,0.092,0.462,7.0,0.0,6MOY-5
2019-20,28,ORL,NBA,SG,69.0,0.0,1889.0,0.403,20.1,0.404,0.09,0.066,0.104,0.144,0.596,0.48,0.763,0.339,0.398,0.426,0.351,0.628,0.87,0.033,23.0,0.089,0.4,4.0,0.0,
2020-21,29,ORL,NBA,SG,46.0,2.0,1347.0,0.412,18.3,0.571,0.063,0.12,0.172,0.216,0.429,0.469,0.744,0.365,0.538,0.391,0.337,0.485,0.775,0.023,11.0,0.106,0.286,1.0,0.0,
2021-22,30,ORL,NBA,SG,63.0,0.0,1448.0,0.397,18.0,0.523,0.108,0.125,0.155,0.135,0.477,0.493,0.7,0.435,0.523,0.347,0.292,0.524,0.779,0.023,10.0,0.133,0.314,4.0,0.0,
2022-23,31,2TM,NBA,SG,63.0,9.0,1330.0,0.43,19.9,0.445,0.037,0.08,0.178,0.151,0.555,0.507,0.706,0.514,0.398,0.586,0.368,0.629,0.937,0.019,6.0,0.264,0.441,0.0,0.0,
2022-23,31,ORL,NBA,SG,42.0,9.0,944.0,0.431,19.2,0.465,0.043,0.107,0.174,0.14,0.535,0.489,0.692,0.5,0.385,0.548,0.381,0.588,0.918,0.023,5.0,0.231,0.459,0.0,0.0,
2022-23,31,PHO,NBA,SG,21.0,0.0,386.0,0.428,20.6,0.41,0.024,0.03,0.187,0.169,0.59,0.544,0.75,0.6,0.419,0.643,0.347,0.703,0.971,0.012,1.0,0.316,0.419,0.0,0.0,
