"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2010-11,20,UTA,NBA,SF,72.0,17.0,1218.0,0.485,13.8,0.747,0.304,0.082,0.055,0.307,0.253,0.489,0.64,0.333,0.438,0.389,0.473,0.682,0.971,0.068,17.0,0.392,0.517,0.0,0.0,
2011-12,21,UTA,NBA,SF,66.0,58.0,2015.0,0.456,13.6,0.729,0.295,0.113,0.063,0.258,0.271,0.496,0.642,0.409,0.486,0.371,0.346,0.66,1.0,0.073,39.0,0.258,0.366,0.0,0.0,
2012-13,22,UTA,NBA,SF,72.0,27.0,2104.0,0.435,14.9,0.682,0.238,0.125,0.07,0.248,0.318,0.444,0.587,0.371,0.315,0.38,0.415,0.59,0.912,0.05,35.0,0.232,0.404,1.0,0.0,6MOY-14
2013-14,23,UTA,NBA,SF,77.0,77.0,2800.0,0.413,15.1,0.729,0.209,0.131,0.093,0.296,0.271,0.453,0.625,0.281,0.438,0.413,0.304,0.402,0.894,0.038,38.0,0.246,0.275,0.0,0.0,
2014-15,24,UTA,NBA,SF,76.0,76.0,2618.0,0.445,13.8,0.696,0.209,0.172,0.119,0.197,0.304,0.481,0.634,0.358,0.426,0.458,0.364,0.299,0.858,0.046,50.0,0.142,0.426,1.0,0.0,
2015-16,25,UTA,NBA,SF,80.0,80.0,2893.0,0.433,13.6,0.659,0.209,0.182,0.128,0.14,0.341,0.477,0.622,0.438,0.409,0.375,0.349,0.32,0.797,0.051,52.0,0.234,0.385,2.0,0.0,
2016-17,26,UTA,NBA,SF,73.0,73.0,2516.0,0.471,14.4,0.676,0.23,0.126,0.138,0.181,0.324,0.506,0.692,0.425,0.444,0.378,0.398,0.429,0.745,0.062,68.0,0.134,0.4,1.0,0.0,AS
2017-18,27,BOS,NBA,SF,1.0,1.0,5.0,0.5,17.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,,1.0,,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,
2018-19,28,BOS,NBA,PF,72.0,18.0,1863.0,0.466,14.6,0.636,0.231,0.132,0.135,0.137,0.364,0.542,0.653,0.536,0.488,0.414,0.333,0.607,0.87,0.041,24.0,0.294,0.412,0.0,0.0,
2019-20,29,BOS,NBA,SF,52.0,52.0,1740.0,0.5,14.0,0.683,0.213,0.186,0.171,0.113,0.317,0.554,0.752,0.446,0.492,0.456,0.383,0.487,0.835,0.04,27.0,0.216,0.396,1.0,0.0,
2020-21,30,CHO,NBA,SF,44.0,44.0,1496.0,0.473,13.7,0.688,0.213,0.198,0.161,0.117,0.312,0.499,0.671,0.392,0.453,0.429,0.415,0.606,0.871,0.033,21.0,0.176,0.639,0.0,0.0,
2021-22,31,CHO,NBA,SF,49.0,48.0,1564.0,0.459,14.4,0.643,0.214,0.173,0.157,0.099,0.357,0.496,0.682,0.327,0.381,0.574,0.391,0.579,0.872,0.032,19.0,0.205,0.444,0.0,0.0,
2022-23,32,CHO,NBA,SF,50.0,50.0,1577.0,0.475,14.4,0.725,0.16,0.201,0.191,0.172,0.275,0.532,0.763,0.487,0.486,0.42,0.325,0.554,0.904,0.028,16.0,0.231,0.432,0.0,0.0,
