"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jeff Ayres,,2.4,1.3,1.2,1.0,0.3,0.2,
Rory White,87.1,2.6,1.5,1.0,1.0,0.4,,
Keita Bates-Diop,84.2,2.7,1.6,1.3,1.2,0.3,0.3,
Al Thornton,83.4,2.2,1.6,1.3,1.1,,,
Kevin S̩raphin,82.7,2.3,1.7,1.0,0.8,0.2,0.1,-0.2
George Lee,81.3,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Semi Ojeleye,81.0,1.9,1.2,1.2,0.7,0.2,,
Jericho Sims,80.0,2.6,1.5,1.5,1.3,,,
Richard Anderson,78.9,2.3,2.1,1.3,1.0,0.5,0.5,
Chris Crawford,78.9,2.7,1.3,0.9,0.6,0.6,0.2,0.1
Ike Diogu,78.9,2.6,1.5,1.0,0.7,0.7,0.0,
