"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
CJ McCollum,,7.6,6.6,6.0,5.9,5.6,4.7,4.3,4.1,3.6,1.8,1.5,0.2,,,
Dick McGuire,93.8,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4.0,4.0,2.1,1.3,,,,
Damon Stoudamire,93.6,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1,,
Nick Van Exel,92.2,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.6,1.4,1.2,,
Darren Collison,91.9,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,-0.1,,,,
Antonio Daniels,91.9,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,1.5,0.0,-1.3,,
Brad Davis,91.1,7.4,7.3,6.2,6.2,5.4,4.2,4.0,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1
Mike Newlin,90.8,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,,,,
John Starks,90.8,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3.0,2.4,2.1,0.6,0.0,-0.1,,
Muggsy Bogues,89.7,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1,
Jeff Teague,88.8,8.1,7.7,6.1,6.0,5.9,5.2,4.9,2.5,2.2,1.7,1.6,0.6,,,
