Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,22,2TM,NBA,SG,42,18,1027,6.7,17.5,.384,1.2,4.5,.258,5.6,13.0,.427,.417,2.6,2.9,.869,1.1,2.6,3.7,4.1,1.4,0.1,2.9,2.2,17.2,
2010-11,22,ATL,NBA,SG,16,0,160,6.1,17.3,.351,2.0,6.1,.333,4.1,11.3,.360,.409,0.9,1.4,.667,2.0,4.3,6.3,3.4,0.7,0.0,3.4,2.9,15.1,
2010-11,22,WAS,NBA,SG,26,18,867,6.9,17.6,.390,1.0,4.2,.238,5.9,13.4,.438,.418,2.9,3.2,.885,0.9,2.3,3.2,4.2,1.5,0.1,2.8,2.1,17.6,
2011-12,23,WAS,NBA,SG,64,32,1753,7.2,17.9,.400,1.6,5.6,.289,5.5,12.3,.451,.446,3.3,4.2,.793,0.9,2.5,3.5,3.9,1.2,0.1,2.9,2.3,19.3,
2012-13,24,2TM,NBA,SG,70,14,1709,6.3,15.3,.415,1.7,5.2,.337,4.6,10.1,.455,.472,2.7,3.3,.811,0.9,3.5,4.4,4.7,0.8,0.1,3.0,2.2,17.1,6MOY-7
2012-13,24,WAS,NBA,SG,43,12,1127,6.7,16.2,.415,1.9,5.5,.345,4.9,10.8,.451,.473,2.8,3.4,.821,1.0,3.3,4.3,5.0,0.9,0.2,3.1,1.9,18.1,
2012-13,24,BOS,NBA,SG,27,2,582,5.6,13.4,.415,1.5,4.6,.320,4.1,8.8,.465,.470,2.6,3.3,.792,0.8,3.8,4.6,4.2,0.7,0.1,2.7,2.8,15.2,
2013-14,25,2TM,NBA,PG,81,35,1859,6.3,15.3,.415,1.7,5.5,.316,4.6,9.7,.471,.472,2.8,3.3,.864,0.5,3.0,3.5,5.4,0.9,0.1,2.6,2.3,17.2,
2013-14,25,BOS,NBA,PG,39,35,1198,5.6,13.7,.413,1.5,4.7,.318,4.1,9.0,.463,.468,3.3,3.8,.873,0.5,3.1,3.6,6.7,1.0,0.1,2.5,2.3,16.1,
2013-14,25,GSW,NBA,SG,42,0,661,7.6,18.1,.417,2.2,7.0,.313,5.4,11.2,.483,.477,2.0,2.3,.837,0.5,2.9,3.4,3.1,0.7,0.1,2.7,2.4,19.3,
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2016-17,28,NOP,NBA,SG,19,0,442,8.6,17.8,.482,3.0,7.7,.389,5.5,10.0,.553,.567,1.6,2.1,.769,0.3,2.4,2.8,4.6,0.9,0.2,2.0,2.4,21.7,
2017-18,29,NOP,NBA,SG,5,0,53,8.2,18.3,.444,5.4,9.5,.571,2.7,8.8,.308,.593,0.7,0.7,1.000,1.4,1.4,2.7,8.8,0.7,0.7,3.4,4.8,22.4,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,281,99,6843,6.8,16.5,.411,1.7,5.5,.317,5.0,11.0,.458,.464,2.8,3.4,.826,0.8,2.9,3.7,4.6,1.0,0.1,2.8,2.3,18.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,133,62,3747,7.0,17.3,.402,1.6,5.2,.297,5.4,12.1,.448,.447,3.0,3.7,.819,0.9,2.7,3.7,4.3,1.2,0.1,2.9,2.1,18.5,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,66,37,1780,5.6,13.6,.414,1.5,4.7,.319,4.1,8.9,.464,.469,3.1,3.6,.849,0.6,3.3,3.9,5.9,0.9,0.1,2.6,2.4,15.8,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,24,0,495,8.5,17.8,.478,3.3,7.9,.413,5.2,9.9,.529,.569,1.5,2.0,.778,0.4,2.3,2.8,5.1,0.9,0.2,2.2,2.7,21.8,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,42,0,661,7.6,18.1,.417,2.2,7.0,.313,5.4,11.2,.483,.477,2.0,2.3,.837,0.5,2.9,3.4,3.1,0.7,0.1,2.7,2.4,19.3,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,16,0,160,6.1,17.3,.351,2.0,6.1,.333,4.1,11.3,.360,.409,0.9,1.4,.667,2.0,4.3,6.3,3.4,0.7,0.0,3.4,2.9,15.1,
