"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Jameer Nelson,,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5
D.J. Augustin,92.2,6.9,6.2,6.2,5.1,4.1,3.4,2.9,2.8,2.8,2.6,2.1,1.2,0.8,0.5
J.R. Smith,92.1,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2
Nate McMillan,91.7,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,,
Vinnie Johnson,89.9,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,
Derek Fisher,89.7,6.3,5.8,5.7,5.5,5.2,3.9,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
John Lucas,88.6,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1.0,0.4
Ricky Rubio,88.6,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,1.3,0.7,0.5,,
Sedale Threatt,88.5,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1
Jalen Rose,88.4,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,
Jamal Crawford,87.6,7.3,5.4,5.3,5.0,4.5,4.2,4.1,3.4,3.3,3.1,2.8,2.3,0.6,-0.9
