"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Kawhi Leonard,,13.7,13.6,9.5,8.9,8.8,8.7,8.6,7.7,7.1,6.2,5.5,3.5,0.9,,,,
Elgin Baylor,91.9,14.8,14.4,11.5,9.8,8.5,8.0,7.9,7.8,7.2,6.2,4.9,2.6,0.5,0.0,,,
Bobby Jones,88.2,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0,4.8,3.2,,,,,
Elton Brand,88.1,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2
Anthony Davis,87.0,14.0,13.7,11.8,11.1,11.0,10.4,9.5,9.0,7.2,6.7,6.1,4.5,3.7,,,,
Detlef Schrempf,86.7,12.9,10.4,10.4,9.8,9.0,8.4,8.2,8.1,8.0,5.8,5.2,4.4,4.0,3.6,0.8,0.5,
Jerry Lucas,85.8,12.7,11.2,10.5,10.1,9.9,9.5,8.1,7.9,7.8,7.3,3.4,,,,,,
Alex English,85.2,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7.0,6.8,5.3,5.1,4.0,1.2,0.6,,
Dennis Rodman,85.2,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6.0,5.8,5.5,2.9,0.8,0.6,,,
Horace Grant,85.1,14.1,10.3,10.0,9.5,9.1,8.0,8.0,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2.0,0.2
Kevin McHale,84.9,14.8,11.1,11.0,11.0,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4.0,2.8,,,,
