Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,19,SAS,NBA,PG,10,10,341,6.5,14.4,0.456,1.1,2.9,0.37,5.5,11.5,0.477,0.493,2.2,3.0,0.75,0.5,2.5,3.1,4.2,1.0,0.1,2.3,2.3,16.4,
2002-03,20,SAS,NBA,PG,24,24,814,6.0,14.8,0.403,0.7,2.5,0.268,5.3,12.3,0.43,0.425,3.0,4.2,0.713,0.4,2.6,2.9,3.8,1.0,0.1,2.1,2.3,15.6,
2003-04,21,SAS,NBA,PG,10,10,386,6.7,15.7,0.429,1.6,4.0,0.395,5.1,11.7,0.44,0.479,2.1,3.3,0.657,0.5,1.5,2.0,6.5,1.2,0.1,2.9,1.4,17.2,
2004-05,22,SAS,NBA,PG,23,23,858,7.0,15.4,0.454,0.4,2.0,0.188,6.6,13.3,0.494,0.466,2.3,3.7,0.632,0.5,2.2,2.8,4.2,0.7,0.1,3.0,2.9,16.6,
2005-06,23,SAS,NBA,PG,13,13,475,7.9,17.1,0.46,0.2,0.7,0.222,7.7,16.4,0.47,0.465,4.9,6.0,0.81,0.6,3.0,3.6,3.8,1.0,0.1,3.0,2.3,20.8,
2006-07,24,SAS,NBA,PG,20,20,751,8.1,16.8,0.48,0.3,1.0,0.333,7.7,15.8,0.489,0.49,3.5,5.1,0.679,0.7,2.5,3.2,5.5,1.1,0.0,3.2,1.6,19.9,Finals MVP-1
2007-08,25,SAS,NBA,PG,17,17,654,8.4,16.8,0.497,0.4,1.1,0.35,8.0,15.7,0.507,0.508,3.9,5.1,0.753,0.6,2.9,3.5,5.7,0.9,0.1,2.8,2.0,21.0,
2008-09,26,SAS,NBA,PG,5,5,181,11.7,21.5,0.546,0.6,2.8,0.214,11.1,18.7,0.596,0.56,4.4,6.2,0.71,0.2,4.0,4.2,6.8,1.2,0.2,4.2,2.6,28.4,
2009-10,27,SAS,NBA,PG,10,2,335,7.8,16.5,0.474,0.2,0.3,0.667,7.6,16.2,0.47,0.481,2.7,4.5,0.595,1.0,3.1,4.1,5.8,0.6,0.0,2.4,2.1,18.6,
2010-11,28,SAS,NBA,PG,6,6,221,7.0,15.1,0.462,0.2,1.3,0.125,6.8,13.8,0.494,0.468,5.0,6.7,0.756,0.2,2.4,2.6,5.0,1.3,0.3,3.3,1.6,19.2,
2011-12,29,SAS,NBA,PG,14,14,506,7.3,16.0,0.453,0.5,1.5,0.333,6.8,14.5,0.466,0.469,5.1,6.3,0.807,0.6,3.0,3.6,6.8,0.9,0.0,3.1,1.6,20.1,
2012-13,30,SAS,NBA,PG,21,21,765,7.9,17.2,0.458,0.5,1.5,0.355,7.3,15.7,0.467,0.473,4.1,5.3,0.777,0.7,2.5,3.2,6.9,1.1,0.1,2.5,1.2,20.3,
2013-14,31,SAS,NBA,PG,23,23,719,8.4,17.3,0.486,0.7,1.8,0.371,7.8,15.6,0.498,0.504,2.6,3.5,0.729,0.3,2.0,2.3,5.6,0.8,0.1,3.1,1.9,20.0,
2014-15,32,SAS,NBA,PG,7,7,210,5.7,15.6,0.363,0.0,1.5,0.0,5.7,14.1,0.402,0.363,1.7,2.9,0.588,0.7,3.3,3.9,4.3,0.3,0.0,1.9,2.4,13.0,
2015-16,33,SAS,NBA,PG,10,10,264,6.0,13.4,0.449,0.5,2.2,0.25,5.5,11.2,0.488,0.469,1.6,1.9,0.857,0.1,2.9,3.0,7.2,0.8,0.3,2.5,2.0,14.2,
2016-17,34,SAS,NBA,PG,8,8,211,8.7,16.5,0.526,1.9,3.2,0.579,6.8,13.3,0.513,0.582,2.4,2.4,1.0,0.3,3.1,3.4,4.3,0.7,0.0,2.0,1.7,21.7,
2017-18,35,SAS,NBA,PG,5,0,67,7.5,19.9,0.378,0.0,2.7,0.0,7.5,17.2,0.438,0.378,2.7,3.8,0.714,0.0,2.1,2.1,3.2,1.1,0.0,2.1,1.1,17.7,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,,226,213,7758,7.5,16.2,0.461,0.6,1.8,0.309,6.9,14.5,0.479,0.478,3.2,4.4,0.731,0.5,2.6,3.1,5.3,0.9,0.1,2.8,2.0,18.8,
