Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,21,NYK,NBA,SG,81.0,1.0,1875.0,5.6,13.2,0.428,2.5,6.9,0.363,3.1,6.3,0.498,0.523,2.0,2.5,0.828,0.4,2.0,2.3,1.3,0.8,0.1,0.9,2.8,15.8,"ROY-5,6MOY-13"
2014-15,22,NYK,NBA,SG,70.0,30.0,1681.0,6.0,15.4,0.389,2.6,7.6,0.342,3.4,7.8,0.435,0.474,2.7,3.3,0.801,0.3,3.1,3.3,2.7,0.4,0.3,1.8,2.5,17.2,
2015-16,23,ATL,NBA,SG,51.0,1.0,864.0,4.7,11.0,0.43,2.0,6.0,0.336,2.8,5.1,0.541,0.521,2.1,2.3,0.893,0.3,3.3,3.6,2.1,0.9,0.3,1.0,2.0,13.6,
2016-17,24,ATL,NBA,SG,79.0,30.0,2154.0,6.9,15.2,0.455,2.5,7.0,0.357,4.4,8.3,0.537,0.537,2.7,3.6,0.766,0.6,3.2,3.7,3.0,0.9,0.3,1.8,1.7,19.1,6MOY-10
2017-18,25,NYK,NBA,SG,57.0,54.0,1885.0,6.9,16.3,0.421,2.5,7.8,0.317,4.4,8.5,0.516,0.496,2.8,3.4,0.816,0.6,3.7,4.3,3.0,1.2,0.2,1.8,2.3,19.0,
2018-19,26,2TM,NBA,SG,65.0,63.0,2057.0,6.8,17.4,0.393,2.8,8.3,0.34,4.0,9.0,0.442,0.474,4.1,4.8,0.841,0.6,3.3,3.9,2.8,0.9,0.1,1.8,2.5,20.5,
2018-19,26,NYK,NBA,SG,46.0,46.0,1499.0,6.8,17.4,0.388,2.8,8.1,0.347,4.0,9.3,0.424,0.469,4.8,5.6,0.854,0.6,3.2,3.9,2.9,1.0,0.1,1.9,2.5,21.1,
2018-19,26,DAL,NBA,SG,19.0,17.0,558.0,7.0,17.2,0.404,2.9,9.0,0.321,4.1,8.2,0.496,0.489,2.1,2.8,0.767,0.5,3.5,3.9,2.4,0.8,0.1,1.5,2.3,19.0,
2019-20,27,DAL,NBA,SG,71.0,58.0,2091.0,6.6,15.2,0.434,3.5,8.8,0.398,3.1,6.4,0.485,0.55,2.6,3.1,0.819,0.4,3.6,4.0,2.4,0.7,0.1,1.2,2.2,19.3,
2020-21,28,DAL,NBA,SG,70.0,31.0,1985.0,7.4,16.5,0.447,3.8,9.6,0.391,3.6,6.9,0.524,0.56,2.6,3.2,0.816,0.4,3.8,4.2,2.3,0.6,0.2,1.2,2.0,21.1,6MOY-5
2021-22,29,DAL,NBA,SG,42.0,20.0,1245.0,6.0,15.3,0.394,2.9,8.8,0.336,3.1,6.5,0.473,0.491,2.3,3.0,0.757,0.4,4.1,4.5,2.7,1.1,0.2,1.0,2.1,17.3,
