"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Norman Powell,,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6
Eric Gordon,95.1,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Greg Anthony,94.6,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6
Tyus Jones,93.3,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3
Jarrett Jack,93.0,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2
Sherman Douglas,92.4,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,-0.1
Ricky Sobers,92.3,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1.0,0.1
Mario Chalmers,91.8,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,
Patrick Beverley,91.0,5.3,4.8,4.4,4.2,4.1,3.6,3.5,2.2,2.1,0.4
Marcus Smart,90.7,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9,0.2
John Long,90.6,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.2
