Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,20,GSW,NBA,SG,49.0,3.0,886.0,7.7,18.5,0.415,1.6,4.8,0.341,6.0,13.7,0.441,0.459,2.4,3.4,0.712,1.3,4.8,6.1,4.5,1.9,0.6,3.4,4.0,19.4,95.0,107.0,
2006-07,21,GSW,NBA,SG,77.0,53.0,2638.0,8.8,18.5,0.475,0.7,2.6,0.273,8.1,15.9,0.509,0.495,5.0,6.6,0.763,1.1,3.3,4.5,5.9,2.4,0.4,4.1,3.9,23.3,104.0,109.0,MIP-1
2007-08,22,GSW,NBA,SG,81.0,72.0,3071.0,10.3,19.4,0.531,0.2,0.8,0.231,10.1,18.6,0.545,0.536,5.1,6.6,0.767,2.1,4.3,6.4,5.0,2.0,0.4,2.7,3.1,25.9,117.0,111.0,
2008-09,23,GSW,NBA,SG,25.0,25.0,892.0,10.6,23.6,0.451,0.4,1.4,0.308,10.2,22.1,0.46,0.46,4.3,5.2,0.83,0.8,5.2,5.9,5.1,2.1,0.4,3.7,3.7,26.0,99.0,114.0,
2009-10,24,GSW,NBA,SG,64.0,64.0,2647.0,11.4,25.4,0.449,1.4,4.1,0.338,10.0,21.3,0.47,0.476,5.3,7.0,0.753,0.8,3.8,4.6,6.1,2.6,0.5,4.4,3.4,29.5,99.0,112.0,
2010-11,25,GSW,NBA,SG,80.0,80.0,3227.0,11.4,25.3,0.451,2.1,5.9,0.361,9.2,19.3,0.478,0.493,5.3,6.8,0.789,0.7,3.7,4.4,7.1,2.6,0.4,4.0,3.2,30.3,107.0,112.0,
2011-12,26,2TM,NBA,SG,58.0,58.0,2120.0,11.0,25.4,0.433,1.5,4.9,0.308,9.5,20.5,0.462,0.463,5.3,6.7,0.796,0.5,4.4,4.9,8.4,2.1,0.4,4.3,3.3,28.8,101.0,109.0,
2011-12,26,GSW,NBA,SG,37.0,37.0,1365.0,11.6,26.8,0.433,1.9,5.9,0.321,9.7,20.9,0.465,0.469,5.8,7.1,0.812,0.6,4.2,4.8,8.5,2.1,0.5,4.7,3.2,30.9,101.0,111.0,
2011-12,26,MIL,NBA,SG,21.0,21.0,755.0,9.8,22.8,0.432,0.8,3.1,0.267,9.0,19.7,0.457,0.449,4.6,6.0,0.764,0.3,4.7,5.0,8.3,2.0,0.4,3.7,3.5,25.1,100.0,107.0,
2012-13,27,MIL,NBA,SG,82.0,82.0,3076.0,9.8,23.7,0.416,1.5,5.4,0.287,8.3,18.3,0.454,0.448,4.8,6.2,0.773,0.7,4.5,5.2,8.2,2.8,0.6,4.2,2.7,26.0,100.0,105.0,
2013-14,28,DAL,NBA,SG,82.0,82.0,3023.0,9.8,21.7,0.451,1.2,3.5,0.33,8.6,18.1,0.474,0.478,5.8,7.3,0.788,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,104.0,109.0,
2014-15,29,DAL,NBA,SG,80.0,80.0,2699.0,11.3,25.3,0.445,1.5,5.3,0.285,9.7,20.0,0.487,0.475,4.3,5.7,0.752,0.6,2.9,3.6,6.1,2.8,0.5,3.7,3.7,28.3,100.0,107.0,
2015-16,30,IND,NBA,SG,81.0,81.0,2734.0,7.9,18.5,0.427,1.6,5.1,0.309,6.3,13.4,0.472,0.47,2.9,3.7,0.786,0.8,4.2,4.9,7.0,2.7,0.7,3.7,3.2,20.4,99.0,103.0,
2016-17,31,IND,NBA,SG,74.0,33.0,1998.0,6.2,14.0,0.443,1.1,3.4,0.319,5.1,10.6,0.483,0.482,2.3,3.2,0.727,0.5,4.6,5.1,5.9,2.0,0.7,3.4,3.7,15.8,97.0,110.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,833.0,713.0,29011.0,9.8,21.8,0.451,1.3,4.0,0.314,8.6,17.8,0.482,0.48,4.6,6.0,0.772,0.9,4.0,4.9,6.6,2.4,0.5,3.9,3.4,25.6,103.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (7 Yrs),GSW (7 Yrs),GSW (7 Yrs),GSW (7 Yrs),,413.0,334.0,14726.0,10.5,22.5,0.465,1.2,3.6,0.329,9.3,18.9,0.491,0.491,5.0,6.5,0.774,1.1,4.0,5.1,6.1,2.3,0.4,3.8,3.4,27.1,105.0,111.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,162.0,162.0,5722.0,10.5,23.4,0.448,1.3,4.4,0.304,9.1,19.0,0.481,0.476,5.0,6.5,0.774,0.6,3.7,4.3,7.1,2.6,0.4,4.1,3.5,27.3,102.0,108.0,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,155.0,114.0,4732.0,7.2,16.6,0.433,1.4,4.4,0.312,5.8,12.2,0.476,0.474,2.7,3.5,0.763,0.6,4.4,5.0,6.5,2.4,0.7,3.6,3.4,18.4,98.0,106.0,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,103.0,103.0,3831.0,9.8,23.5,0.419,1.4,4.9,0.284,8.4,18.5,0.455,0.449,4.7,6.1,0.771,0.6,4.5,5.2,8.2,2.6,0.6,4.1,2.9,25.8,100.0,106.0,
