Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,20,POR,NBA,PF,41.0,0.0,5.8,1.2,2.6,0.449,0.0,0.0,,1.2,2.6,0.449,0.449,0.4,0.7,0.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8,
2002-03,21,POR,NBA,PF,77.0,11.0,16.9,3.4,6.7,0.513,0.0,0.1,0.0,3.4,6.6,0.518,0.513,1.6,2.1,0.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4,
2003-04,22,POR,NBA,PF,81.0,80.0,37.9,8.2,16.9,0.485,0.0,0.1,0.2,8.2,16.8,0.486,0.485,3.7,4.9,0.761,3.0,7.5,10.5,2.0,0.8,0.5,3.0,2.8,20.1,MIP-1
2004-05,23,POR,NBA,PF,46.0,37.0,34.8,7.2,16.1,0.448,0.0,0.1,0.0,7.2,16.0,0.452,0.448,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9,
2005-06,24,POR,NBA,PF,74.0,71.0,34.4,7.2,16.6,0.436,0.2,0.7,0.291,7.0,15.9,0.443,0.443,3.3,4.6,0.714,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5,18.0,
2006-07,25,POR,NBA,PF,68.0,67.0,35.7,8.8,18.9,0.467,0.2,0.7,0.292,8.6,18.2,0.473,0.472,5.8,7.1,0.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6,
2007-08,26,NYK,NBA,C,69.0,68.0,32.5,7.0,15.3,0.459,0.3,1.2,0.275,6.7,14.2,0.474,0.47,3.2,4.2,0.772,2.7,7.6,10.3,2.0,0.9,0.2,2.7,2.8,17.6,
2008-09,27,2TM,NBA,PF,50.0,45.0,35.1,8.3,17.5,0.475,0.6,1.9,0.33,7.7,15.5,0.494,0.494,3.6,4.9,0.734,3.1,6.9,10.1,2.1,0.9,0.3,2.3,2.7,20.8,
2008-09,27,NYK,NBA,C,11.0,11.0,35.3,7.5,17.2,0.434,0.6,2.2,0.292,6.8,15.0,0.455,0.452,5.0,6.1,0.821,3.6,8.8,12.5,1.4,1.2,0.3,2.1,2.5,20.5,
2008-09,27,LAC,NBA,PF,39.0,34.0,35.1,8.5,17.5,0.487,0.6,1.9,0.342,7.9,15.7,0.504,0.505,3.2,4.5,0.701,3.0,6.4,9.4,2.3,0.8,0.3,2.3,2.7,20.9,
2009-10,28,MEM,NBA,PF,81.0,81.0,37.7,8.0,16.5,0.488,0.2,0.6,0.288,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,AS
2010-11,29,MEM,NBA,PF,75.0,74.0,36.3,8.0,15.8,0.503,0.1,0.6,0.186,7.9,15.3,0.515,0.507,4.0,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1,NBA3
2011-12,30,MEM,NBA,PF,28.0,8.0,26.3,4.7,10.2,0.463,0.1,0.3,0.25,4.6,9.9,0.469,0.467,2.1,3.1,0.659,2.8,5.3,8.0,1.7,0.8,0.1,1.4,2.0,11.6,6MOY-11
2012-13,31,MEM,NBA,PF,76.0,75.0,34.3,6.2,13.5,0.46,0.0,0.3,0.087,6.2,13.2,0.469,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,AS
2013-14,32,MEM,NBA,PF,79.0,79.0,34.2,7.1,15.2,0.467,0.0,0.3,0.1,7.1,14.9,0.474,0.468,3.2,4.3,0.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4,
2014-15,33,MEM,NBA,PF,71.0,71.0,32.5,6.4,13.1,0.487,0.1,0.3,0.35,6.3,12.8,0.49,0.491,3.2,4.2,0.765,3.2,7.4,10.5,2.2,1.0,0.2,2.2,2.5,16.1,
2015-16,34,MEM,NBA,PF,68.0,53.0,29.6,6.3,13.3,0.475,0.1,0.4,0.231,6.3,13.0,0.482,0.479,2.5,3.2,0.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3,
2016-17,35,MEM,NBA,PF,73.0,5.0,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,6MOY-4
2017-18,36,SAC,NBA,PF,59.0,58.0,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2.0,2.0,14.5,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,,1116.0,883.0,31.0,6.7,14.1,0.471,0.2,0.7,0.273,6.5,13.5,0.481,0.478,3.1,4.1,0.764,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6,
