"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Stromile Swift,,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1
Pat Cummings,91.5,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6
Terry Catledge,90.7,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,
Maxi Kleber,90.0,4.8,3.5,3.0,2.9,2.8,1.4,1.3,0.3,
James Jones,89.7,4.7,4.0,3.7,2.5,2.2,1.7,1.0,0.9,0.0
Andray Blatche,88.3,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Vladimir RadmanoviÄ,88.1,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8,0.0
Charlie Villanueva,88.0,4.9,3.9,3.5,3.1,1.7,1.7,1.6,0.4,0.1
Derrick Jones Jr.,87.5,4.7,4.4,3.1,2.9,2.4,2.4,2.2,1.1,0.4
Shandon Anderson,87.4,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.4
Doug McDermott,86.8,3.8,3.3,2.9,2.8,2.6,2.3,1.6,1.0,0.0
