"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Terry Rozier,,5.9,5.6,5.2,3.9,3.2,3.0,1.7,1.4,1.0,-0.3,,,
Austin Carr,91.1,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,,
Brandon Jennings,90.1,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,,,,
Walt Hazzard,88.7,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,,
Larry Steele,88.7,5.7,5.2,4.8,3.6,3.0,2.0,1.9,1.6,0.5,,,,
Adrian Smith,88.3,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,
Foots Walker,88.3,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,
Quentin Richardson,88.0,5.8,5.8,5.6,3.5,3.0,2.4,2.1,1.3,1.3,1.0,0.7,0.3,-0.1
Odie Spears,87.6,5.6,5.2,4.7,3.8,3.3,3.1,2.0,0.2,,,,,
Ricky Davis,87.1,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4,
Arron Afflalo,86.7,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,1.4,0.1,,
