Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2001-02,24,NJN,NBA,PF,20.0,20.0,749.0,13.7,0.477,0.03,0.362,4.3,13.3,8.7,13.4,1.7,2.7,12.9,24.0,0.0,0.8,0.8,0.053,-1.2,0.9,-0.3,0.3,
2002-03,25,NJN,NBA,PF,20.0,20.0,777.0,17.4,0.498,0.033,0.347,7.2,20.9,13.8,14.4,2.0,3.2,13.3,25.5,0.3,1.7,2.1,0.128,0.4,2.5,3.0,1.0,
2003-04,26,NJN,NBA,PF,11.0,11.0,409.0,21.0,0.583,0.026,0.421,7.5,26.0,17.3,6.9,1.7,2.6,15.1,24.5,0.9,0.9,1.8,0.21,1.3,1.7,3.0,0.5,
2004-05,27,DEN,NBA,PF,5.0,5.0,164.0,12.1,0.487,0.017,0.224,4.7,15.8,10.0,7.2,1.6,2.5,9.9,20.1,-0.1,0.2,0.1,0.034,-0.8,0.7,-0.1,0.1,
2005-06,28,DEN,NBA,PF,2.0,0.0,35.0,10.8,0.324,0.0,0.154,17.1,11.4,14.7,5.1,6.0,4.5,17.8,21.2,-0.1,0.1,0.0,-0.026,-4.0,2.1,-1.9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,30,DEN,NBA,PF,4.0,4.0,118.0,8.7,0.466,0.0,0.235,11.1,11.2,11.1,6.4,1.7,1.3,19.3,16.3,-0.1,0.0,-0.1,-0.034,-3.8,-0.4,-4.2,-0.1,
2008-09,31,DEN,NBA,PF,16.0,16.0,538.0,12.0,0.523,0.033,0.232,5.3,15.8,10.5,9.9,1.7,2.2,13.5,16.3,0.3,0.6,0.8,0.073,-1.8,0.7,-1.0,0.1,
2009-10,32,DEN,NBA,PF,6.0,6.0,205.0,12.0,0.514,0.02,0.38,8.2,22.1,15.0,5.9,2.2,2.8,15.9,15.0,0.0,0.1,0.2,0.043,-1.7,0.2,-1.4,0.0,
2010-11,33,DEN,NBA,PF,5.0,5.0,148.0,12.9,0.509,0.0,0.36,4.5,24.8,14.7,10.5,0.7,1.1,10.8,20.0,0.0,0.1,0.2,0.053,-1.4,0.6,-0.7,0.0,
2011-12,34,LAC,NBA,PF,11.0,0.0,193.0,12.9,0.538,0.0,0.19,7.0,15.2,11.1,2.6,1.1,7.8,8.1,12.4,0.2,0.2,0.4,0.102,-1.9,3.0,1.1,0.2,
2012-13,35,NYK,NBA,C,12.0,1.0,253.0,16.2,0.587,0.0,0.4,7.0,19.3,12.7,7.6,2.0,6.7,12.0,12.7,0.4,0.6,1.0,0.193,-0.9,3.6,2.8,0.3,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,112.0,88.0,3589.0,14.8,0.51,0.025,0.333,6.4,18.3,12.3,10.2,1.8,3.2,13.3,20.7,1.9,5.4,7.3,0.098,-0.8,1.5,0.7,2.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,64.0,2628.0,14.8,0.51,0.025,0.333,6.4,18.3,12.3,10.2,1.8,3.2,13.3,20.7,1.4,3.9,5.3,0.098,-0.8,1.5,0.7,1.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),DEN (6 Yrs),,38.0,36.0,1208.0,11.8,0.502,0.02,0.267,6.5,17.4,11.9,8.5,1.8,2.2,13.7,17.2,0.1,1.1,1.2,0.047,-1.8,0.6,-1.3,0.2,
NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),,51.0,51.0,1935.0,16.8,0.507,0.031,0.367,6.1,19.0,12.5,12.4,1.8,2.9,13.5,24.7,1.2,3.5,4.7,0.116,0.0,1.7,1.7,1.8,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,12.0,1.0,253.0,16.2,0.587,0.0,0.4,7.0,19.3,12.7,7.6,2.0,6.7,12.0,12.7,0.4,0.6,1.0,0.193,-0.9,3.6,2.8,0.3,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,11.0,0.0,193.0,12.9,0.538,0.0,0.19,7.0,15.2,11.1,2.6,1.1,7.8,8.1,12.4,0.2,0.2,0.4,0.102,-1.9,3.0,1.1,0.2,
