"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,20,DEN,NBA,SG,38.0,4.0,428.0,0.493,11.8,0.645,0.408,0.151,0.033,0.053,0.355,0.541,0.71,0.217,0.6,0.125,0.407,0.547,0.818,0.013,2.0,0.204,0.636,0.0,0.0,
2013-14,21,DEN,NBA,SG,76.0,4.0,1503.0,0.419,14.8,0.564,0.254,0.165,0.055,0.09,0.436,0.453,0.601,0.333,0.3,0.347,0.376,0.482,0.899,0.022,12.0,0.278,0.455,1.0,0.0,
2014-15,22,ORL,NBA,SG,58.0,32.0,1661.0,0.44,13.4,0.609,0.339,0.125,0.04,0.104,0.391,0.48,0.636,0.25,0.217,0.35,0.378,0.446,0.776,0.037,19.0,0.196,0.341,3.0,0.0,
2015-16,23,ORL,NBA,SF,79.0,71.0,2566.0,0.462,14.1,0.58,0.3,0.125,0.053,0.103,0.42,0.506,0.634,0.405,0.388,0.313,0.4,0.473,0.865,0.011,9.0,0.2,0.397,4.0,0.0,
2016-17,24,ORL,NBA,SG,68.0,66.0,2234.0,0.439,14.2,0.613,0.276,0.166,0.065,0.105,0.387,0.491,0.591,0.416,0.45,0.378,0.356,0.457,0.875,0.011,10.0,0.172,0.387,2.0,0.0,
2017-18,25,ORL,NBA,SF,57.0,57.0,1837.0,0.459,15.0,0.582,0.209,0.165,0.094,0.115,0.418,0.516,0.667,0.439,0.32,0.511,0.379,0.573,0.843,0.01,8.0,0.17,0.509,1.0,0.0,
2018-19,26,ORL,NBA,SG,81.0,81.0,2553.0,0.438,15.7,0.579,0.206,0.148,0.105,0.121,0.421,0.509,0.668,0.411,0.438,0.419,0.34,0.508,0.856,0.011,12.0,0.178,0.388,2.0,0.0,
2019-20,27,ORL,NBA,SF,66.0,66.0,2076.0,0.467,16.5,0.533,0.174,0.147,0.104,0.107,0.467,0.527,0.691,0.474,0.381,0.475,0.399,0.437,0.827,0.003,2.0,0.143,0.532,0.0,0.0,
2020-21,28,2TM,NBA,SF,42.0,36.0,1259.0,0.457,17.9,0.477,0.137,0.155,0.092,0.092,0.523,0.504,0.595,0.5,0.46,0.42,0.413,0.485,0.786,0.006,2.0,0.155,0.568,1.0,0.0,
2020-21,28,ORL,NBA,SF,26.0,26.0,787.0,0.461,17.2,0.491,0.152,0.157,0.098,0.084,0.509,0.536,0.643,0.517,0.528,0.387,0.388,0.474,0.712,0.005,2.0,0.128,0.542,0.0,0.0,
2020-21,28,BOS,NBA,SF,16.0,10.0,472.0,0.448,18.6,0.448,0.105,0.151,0.081,0.11,0.552,0.429,0.444,0.462,0.286,0.474,0.463,0.515,0.909,0.006,0.0,0.211,0.6,1.0,0.0,
2021-22,29,NYK,NBA,SG,80.0,80.0,2358.0,0.417,19.6,0.359,0.081,0.122,0.079,0.077,0.641,0.465,0.603,0.39,0.474,0.432,0.389,0.478,0.88,0.004,3.0,0.281,0.437,2.0,0.0,
2022-23,30,NYK,NBA,SG,27.0,7.0,459.0,0.337,20.4,0.313,0.072,0.09,0.102,0.048,0.687,0.404,0.5,0.467,0.353,0.25,0.307,0.476,0.857,0.0,0.0,0.237,0.333,1.0,0.0,
2023-24,31,2TM,NBA,SG,32.0,0.0,580.0,0.357,20.0,0.412,0.072,0.158,0.104,0.077,0.588,0.505,0.563,0.486,0.652,0.294,0.254,0.609,0.848,0.0,0.0,0.3,0.231,0.0,0.0,
2023-24,31,NYK,NBA,SG,3.0,0.0,39.0,0.2,21.5,0.25,0.05,0.05,0.1,0.05,0.75,0.4,1.0,0.0,0.5,0.0,0.133,0.5,1.0,0.0,0.0,0.267,0.5,0.0,0.0,
2023-24,31,DET,NBA,SG,29.0,0.0,541.0,0.373,18.6,0.428,0.075,0.169,0.104,0.08,0.572,0.512,0.533,0.5,0.667,0.313,0.27,0.614,0.839,0.0,0.0,0.304,0.2,0.0,0.0,
