Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,20,POR,NBA,SG,15.0,1.0,7.4,1.1,3.3,0.32,0.3,1.4,0.238,0.7,1.9,0.379,0.37,0.2,0.5,0.429,0.1,0.7,0.7,0.3,0.1,0.1,0.3,0.3,2.7,
2019-20,21,POR,NBA,SF,61.0,8.0,21.8,3.2,7.2,0.444,1.8,4.4,0.418,1.4,2.8,0.486,0.571,0.6,0.7,0.822,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5,8.9,
2020-21,22,2TM,NBA,SG,58.0,38.0,31.1,5.5,13.5,0.408,2.8,7.4,0.385,2.7,6.1,0.435,0.513,1.4,1.8,0.783,0.5,2.2,2.6,1.4,1.0,0.2,0.7,1.6,15.3,
2020-21,22,POR,NBA,SG,41.0,23.0,30.8,5.3,12.8,0.414,3.0,7.4,0.397,2.3,5.3,0.438,0.53,1.4,1.8,0.773,0.5,1.7,2.2,1.4,0.9,0.1,0.8,1.5,15.0,
2020-21,22,TOR,NBA,SG,17.0,15.0,31.8,6.1,15.4,0.395,2.6,7.3,0.355,3.5,8.1,0.431,0.479,1.5,1.8,0.806,0.4,3.2,3.6,1.3,1.1,0.2,0.7,1.7,16.2,
2021-22,23,TOR,NBA,SG,70.0,69.0,35.0,6.4,15.5,0.414,3.0,7.8,0.383,3.4,7.7,0.445,0.511,2.5,2.9,0.853,0.4,2.4,2.7,2.0,1.7,0.3,1.0,2.1,18.3,
2022-23,24,TOR,NBA,SG,66.0,44.0,32.1,6.1,14.2,0.433,2.5,6.8,0.369,3.6,7.3,0.493,0.522,2.6,3.1,0.839,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,17.4,
2023-24,25,TOR,NBA,SG,71.0,41.0,28.1,5.1,11.9,0.426,2.5,6.4,0.393,2.6,5.5,0.464,0.531,1.0,1.4,0.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7,
2024-25,26,MIL,NBA,SG,74.0,9.0,25.6,3.8,8.9,0.431,2.4,5.9,0.416,1.4,3.0,0.46,0.568,1.1,1.2,0.848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1,
2025-26,27,MIL,NBA,SG,15.0,12.0,27.7,3.5,8.9,0.398,2.3,6.1,0.374,1.3,2.8,0.452,0.526,0.9,1.2,0.722,0.1,1.5,1.6,2.0,1.1,0.1,0.7,2.1,10.2,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,430.0,222.0,28.2,4.8,11.5,0.422,2.4,6.3,0.39,2.4,5.2,0.461,0.529,1.5,1.8,0.82,0.4,2.0,2.3,1.5,1.2,0.2,0.7,1.6,13.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),TOR (4 Yrs),,224.0,169.0,31.7,5.9,14.0,0.422,2.7,7.0,0.38,3.2,7.0,0.464,0.517,2.0,2.4,0.83,0.4,2.3,2.7,1.7,1.4,0.2,0.8,1.7,16.4,
POR (3 Yrs),POR (3 Yrs),POR (3 Yrs),POR (3 Yrs),,117.0,32.0,23.1,3.7,8.7,0.423,2.0,5.1,0.401,1.6,3.6,0.454,0.54,0.8,1.1,0.772,0.4,1.3,1.7,1.1,0.7,0.2,0.5,1.3,10.2,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,89.0,21.0,25.9,3.8,8.9,0.425,2.4,5.9,0.408,1.4,3.0,0.459,0.561,1.0,1.2,0.827,0.2,1.9,2.2,1.3,1.0,0.1,0.6,1.7,11.0,
