"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Patrick O'Bryant,,0.3,0.2,0.0,0.0,
Paul Davis,70.8,0.2,0.2,0.0,0.0,
Matt Fish,65.5,0.4,0.2,0.0,,
Tom Riker,65.2,0.2,0.2,0.0,,
Chris Engler,55.8,0.3,0.2,0.2,0.0,0.0
Alan Ogg,55.8,0.5,0.3,0.0,,
Joe Cooper,45.3,0.2,0.1,0.0,,
Marques Bolden,45.0,0.3,0.0,0.0,,
Tacko Fall,44.6,0.5,0.2,0.1,,
Oleksiy Pecherov,42.8,0.5,0.1,0.0,,
George ZÃ­dek,42.8,0.6,0.3,0.0,,
