Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2010-11,19,2TM,NBA,PF,78.0,27.0,1535.0,215.0,416.0,0.517,0.0,0.0,,215.0,416.0,0.517,0.517,103.0,173.0,0.595,171.0,241.0,412.0,39.0,29.0,68.0,77.0,246.0,533.0,0.0,
2010-11,19,NJN,NBA,PF,56.0,23.0,1091.0,141.0,276.0,0.511,0.0,0.0,,141.0,276.0,0.511,0.511,71.0,116.0,0.612,126.0,171.0,297.0,21.0,18.0,41.0,56.0,183.0,353.0,0.0,
2010-11,19,UTA,NBA,PF,22.0,4.0,444.0,74.0,140.0,0.529,0.0,0.0,,74.0,140.0,0.529,0.529,32.0,57.0,0.561,45.0,70.0,115.0,18.0,11.0,27.0,21.0,63.0,180.0,0.0,
2011-12,20,UTA,NBA,PF,65.0,9.0,1376.0,222.0,445.0,0.499,0.0,0.0,,222.0,445.0,0.499,0.499,126.0,194.0,0.649,158.0,267.0,425.0,43.0,38.0,65.0,103.0,145.0,570.0,0.0,
2012-13,21,UTA,NBA,PF,77.0,8.0,1787.0,274.0,568.0,0.482,0.0,5.0,0.0,274.0,563.0,0.487,0.482,179.0,260.0,0.688,184.0,362.0,546.0,75.0,67.0,130.0,129.0,247.0,727.0,0.0,
2013-14,22,UTA,NBA,PF,73.0,73.0,2201.0,390.0,747.0,0.522,0.0,1.0,0.0,390.0,746.0,0.523,0.522,190.0,284.0,0.669,199.0,438.0,637.0,91.0,75.0,108.0,129.0,236.0,970.0,0.0,
2014-15,23,UTA,NBA,PF,74.0,74.0,2280.0,482.0,918.0,0.525,1.0,6.0,0.167,481.0,912.0,0.527,0.526,222.0,332.0,0.669,196.0,411.0,607.0,112.0,60.0,123.0,121.0,210.0,1187.0,0.0,
2015-16,24,UTA,NBA,PF,62.0,59.0,1983.0,418.0,811.0,0.515,0.0,4.0,0.0,418.0,807.0,0.518,0.515,180.0,254.0,0.709,169.0,334.0,503.0,94.0,74.0,91.0,104.0,150.0,1016.0,0.0,
2016-17,25,UTA,NBA,PF,50.0,39.0,1186.0,203.0,417.0,0.487,3.0,10.0,0.3,200.0,407.0,0.491,0.49,67.0,109.0,0.615,92.0,213.0,305.0,56.0,45.0,40.0,60.0,103.0,476.0,0.0,
2017-18,26,UTA,NBA,C,77.0,77.0,2153.0,395.0,702.0,0.563,14.0,63.0,0.222,381.0,639.0,0.596,0.573,140.0,215.0,0.651,198.0,354.0,552.0,102.0,54.0,82.0,88.0,164.0,944.0,0.0,
2018-19,27,UTA,NBA,C,76.0,70.0,1766.0,363.0,619.0,0.586,17.0,78.0,0.218,346.0,541.0,0.64,0.6,154.0,228.0,0.675,207.0,353.0,560.0,89.0,56.0,106.0,84.0,163.0,897.0,0.0,
2019-20,28,NOP,NBA,C,51.0,49.0,1243.0,209.0,339.0,0.617,1.0,7.0,0.143,208.0,332.0,0.627,0.618,40.0,71.0,0.563,163.0,338.0,501.0,81.0,30.0,46.0,55.0,107.0,459.0,0.0,
2020-21,29,UTA,NBA,C,68.0,0.0,1039.0,155.0,243.0,0.638,0.0,2.0,0.0,155.0,241.0,0.643,0.638,59.0,80.0,0.738,138.0,238.0,376.0,44.0,32.0,68.0,36.0,143.0,369.0,0.0,
2021-22,30,OKC,NBA,C,39.0,18.0,653.0,94.0,182.0,0.516,2.0,16.0,0.125,92.0,166.0,0.554,0.522,16.0,25.0,0.64,58.0,126.0,184.0,25.0,17.0,12.0,9.0,62.0,206.0,0.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,790.0,503.0,19202.0,3420.0,6407.0,0.534,38.0,192.0,0.198,3382.0,6215.0,0.544,0.537,1476.0,2225.0,0.663,1933.0,3675.0,5608.0,851.0,577.0,939.0,995.0,1976.0,8354.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,52.0,1993.0,355.0,665.0,0.534,4.0,20.0,0.198,351.0,645.0,0.544,0.537,153.0,231.0,0.663,201.0,381.0,582.0,88.0,60.0,97.0,103.0,205.0,867.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (10 Yrs),UTA (10 Yrs),UTA (10 Yrs),UTA (10 Yrs),,644.0,413.0,16215.0,2976.0,5610.0,0.53,35.0,169.0,0.207,2941.0,5441.0,0.541,0.534,1349.0,2013.0,0.67,1586.0,3040.0,4626.0,724.0,512.0,840.0,875.0,1624.0,7336.0,0.0,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,56.0,23.0,1091.0,141.0,276.0,0.511,0.0,0.0,,141.0,276.0,0.511,0.511,71.0,116.0,0.612,126.0,171.0,297.0,21.0,18.0,41.0,56.0,183.0,353.0,0.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,51.0,49.0,1243.0,209.0,339.0,0.617,1.0,7.0,0.143,208.0,332.0,0.627,0.618,40.0,71.0,0.563,163.0,338.0,501.0,81.0,30.0,46.0,55.0,107.0,459.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,39.0,18.0,653.0,94.0,182.0,0.516,2.0,16.0,0.125,92.0,166.0,0.554,0.522,16.0,25.0,0.64,58.0,126.0,184.0,25.0,17.0,12.0,9.0,62.0,206.0,0.0,
