"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Austin Rivers,,2.5,2.4,2.4,1.9,1.5,1.3,1.3,1.2,1.2,0.6,-1.1
Garrett Temple,85.4,2.7,2.4,2.2,2.2,1.6,1.5,1.2,1.2,0.4,0.3,-0.4
Nick Young,79.7,3.2,2.8,2.5,2.3,1.9,1.7,1.4,1.2,1.2,0.4,0.1
Trey Burke,76.1,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,,
Earl Watson,75.1,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,-0.2
J.J. Barea,75.0,3.2,2.8,2.7,2.2,2.2,1.9,1.3,1.2,0.7,0.5,0.1
Robert Pack,73.8,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.4,0.1,-0.6
John Crotty,71.4,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1
John Battle,70.9,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,
David Wingate,70.9,2.4,2.3,1.9,1.7,1.4,1.0,0.6,0.4,0.2,0.1,-0.5
Dudley Bradley,70.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,
