"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
KZ Okpala,,0.5,0.3,0.1,0.1
Henry James,90.2,0.6,0.3,0.2,0.1
Alex Poythress,86.0,0.5,0.3,0.1,
Adrian Caldwell,85.4,0.4,0.3,0.1,0.0
Anthony Cook,84.6,0.5,0.4,0.1,0.1
Gene James,82.8,0.5,0.3,0.1,
JT Thor,80.8,0.6,0.3,0.2,0.2
Devontae Cacok,80.5,0.5,0.3,0.0,
Mark Randall,77.9,0.5,0.3,0.2,0.0
Rod McDonald,74.8,0.5,0.5,0.2,
Mamadi Diakite,73.2,0.3,0.3,0.2,0.1
