Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2018-19,22,CHI,NBA,SF,44.0,14.0,895.0,8.8,0.507,0.239,0.182,3.7,18.9,11.2,5.3,1.2,0.6,10.0,12.2,0.0,0.6,0.6,0.03,-3.4,-0.5,-3.9,-0.4,
2019-20,23,CHI,NBA,SF,28.0,10.0,527.0,12.4,0.521,0.217,0.446,3.6,19.8,11.3,7.4,2.5,1.3,11.4,19.1,0.0,0.7,0.7,0.06,-2.7,0.1,-2.6,-0.1,
2020-21,24,2TM,NBA,SF,25.0,1.0,346.0,6.8,0.469,0.214,0.243,1.9,22.2,12.1,6.3,1.6,1.2,14.9,16.2,-0.5,0.4,-0.1,-0.007,-5.7,0.2,-5.6,-0.3,
2020-21,24,CHI,NBA,SF,7.0,0.0,64.0,0.4,0.344,0.167,0.111,1.8,32.6,17.3,7.9,0.8,0.0,20.9,16.2,-0.2,0.1,-0.1,-0.103,-9.3,-0.7,-10.0,-0.1,
2020-21,24,WAS,NBA,SF,18.0,1.0,282.0,8.2,0.494,0.224,0.271,1.9,19.9,10.9,6.0,1.8,1.5,13.6,16.2,-0.2,0.3,0.1,0.014,-4.9,0.3,-4.5,-0.2,
2021-22,25,PHO,NBA,SF,6.0,0.0,22.0,1.0,0.694,0.0,1.0,0.0,23.8,12.2,10.5,0.0,0.0,58.1,13.5,-0.1,0.0,0.0,-0.086,-8.0,-0.5,-8.5,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,103.0,25.0,1790.0,9.4,0.506,0.225,0.292,3.3,19.9,11.4,6.2,1.7,0.9,12.1,15.0,-0.6,1.7,1.1,0.03,-3.7,-0.2,-3.9,-0.9,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,20.0,1425.0,9.4,0.506,0.225,0.292,3.3,19.9,11.4,6.2,1.7,0.9,12.1,15.0,-0.5,1.4,0.9,0.03,-3.7,-0.2,-3.9,-0.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),,79.0,24.0,1486.0,9.7,0.507,0.226,0.294,3.6,19.8,11.5,6.2,1.7,0.8,11.2,14.8,-0.3,1.4,1.1,0.035,-3.4,-0.3,-3.7,-0.6,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,18.0,1.0,282.0,8.2,0.494,0.224,0.271,1.9,19.9,10.9,6.0,1.8,1.5,13.6,16.2,-0.2,0.3,0.1,0.014,-4.9,0.3,-4.5,-0.2,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,0.0,22.0,1.0,0.694,0.0,1.0,0.0,23.8,12.2,10.5,0.0,0.0,58.1,13.5,-0.1,0.0,0.0,-0.086,-8.0,-0.5,-8.5,0.0,
