Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2004-05,19,ATL,NBA,SF,74,59,2050,15.4,.506,.038,.394,7.9,18.6,13.0,10.2,1.5,5.4,16.0,18.4,0.6,1.8,2.4,.055,-0.9,0.4,-0.5,0.8,
2005-06,20,ATL,NBA,SF,80,73,2559,15.5,.500,.142,.377,8.0,17.2,12.5,12.2,1.3,6.2,15.2,18.9,1.5,2.1,3.6,.067,-0.5,0.8,0.3,1.4,
2006-07,21,ATL,NBA,SF,72,72,2647,18.3,.506,.153,.390,7.4,21.0,14.1,16.3,2.0,6.1,16.3,24.1,0.4,4.0,4.4,.079,0.4,1.7,2.0,2.7,DPOY-21
2007-08,22,ATL,NBA,PF,81,81,2873,19.0,.520,.087,.414,6.6,20.4,13.5,16.6,2.3,5.9,15.5,25.0,1.2,4.6,5.8,.097,0.5,2.5,3.0,3.7,DPOY-6
2008-09,23,ATL,NBA,PF,69,69,2421,17.2,.533,.102,.423,6.5,17.6,12.1,12.1,2.1,3.5,13.8,22.6,1.3,3.6,4.9,.097,0.3,1.4,1.7,2.3,DPOY-16
2009-10,24,ATL,NBA,PF,81,81,2871,21.0,.536,.007,.422,9.0,19.8,14.3,19.0,2.4,4.5,14.3,22.2,4.2,5.1,9.3,.155,2.4,2.7,5.1,5.1,"DPOY-2,DEF2"
2010-11,25,ATL,NBA,PF,77,77,2645,19.2,.540,.148,.304,6.2,23.7,15.0,17.1,2.0,3.5,14.3,24.7,1.9,4.5,6.4,.116,1.0,1.7,2.8,3.2,DPOY-25
2011-12,26,ATL,NBA,PF,66,66,2329,21.1,.499,.099,.292,6.9,24.8,15.9,20.6,2.1,3.8,11.7,28.4,1.9,4.9,6.8,.139,1.7,2.1,3.8,3.3,DPOY-10
2012-13,27,ATL,NBA,PF,76,76,2683,17.7,.501,.170,.272,5.8,21.3,13.6,20.9,1.8,3.9,14.6,26.7,-0.3,4.5,4.2,.075,0.3,1.5,1.8,2.5,
2013-14,28,DET,NBA,SF,77,76,2730,14.1,.463,.215,.244,3.9,17.6,10.4,15.0,1.9,3.2,12.7,24.5,-1.4,2.5,1.1,.020,-0.9,0.1,-0.8,0.8,
2014-15,29,2TM,NBA,PF,83,35,2300,14.9,.467,.231,.258,7.2,18.3,12.6,20.5,1.9,3.9,15.8,24.8,-1.1,3.4,2.3,.048,-0.6,1.2,0.7,1.6,
2014-15,29,DET,NBA,PF,28,28,896,14.3,.417,.095,.284,6.1,18.9,12.3,24.7,2.1,4.2,14.1,25.3,-1.1,1.3,0.2,.012,-0.7,2.2,1.5,0.8,
2014-15,29,HOU,NBA,PF,55,7,1404,15.2,.500,.320,.242,7.9,17.9,12.9,17.8,1.8,3.8,16.9,24.5,-0.1,2.2,2.1,.071,-0.5,0.7,0.2,0.8,
2015-16,30,2TM,NBA,PF,55,7,880,10.6,.439,.410,.192,6.4,17.4,11.9,15.9,1.9,4.3,16.9,22.9,-1.2,1.2,0.0,.000,-3.5,0.4,-3.1,-0.2,
2015-16,30,LAC,NBA,PF,32,1,459,13.2,.456,.322,.233,8.0,21.5,14.8,14.3,2.0,5.8,17.1,23.6,-0.6,0.9,0.3,.036,-2.8,2.3,-0.5,0.2,
2015-16,30,HOU,NBA,PF,23,6,421,7.7,.419,.503,.148,4.7,12.9,8.8,17.7,1.9,2.6,16.7,22.1,-0.7,0.3,-0.4,-0.040,-4.3,-1.6,-5.9,-0.4,
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2017-18,32,NOP,NBA,PF,3,0,12,3.5,.250,.000,.000,28.1,8.7,18.1,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,-0.013,-8.4,-6.2,-14.6,0.0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,894,772,29000,17.4,.504,.140,.333,6.8,20.0,13.3,16.5,2.0,4.5,14.6,23.7,8.7,42.3,51.0,.084,0.2,1.5,1.7,27.2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,71,2660,17.4,.504,.140,.333,6.8,20.0,13.3,16.5,2.0,4.5,14.6,23.7,0.8,3.9,4.7,.084,0.2,1.5,1.7,2.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (9 Yrs),ATL (9 Yrs),ATL (9 Yrs),ATL (9 Yrs),,676,654,23078,18.4,.516,.109,.360,7.1,20.5,13.8,16.3,2.0,4.8,14.6,23.5,12.5,35.1,47.6,.099,0.6,1.7,2.3,25.0,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,105,104,3626,14.1,.452,.186,.254,4.4,17.9,10.9,17.4,2.0,3.5,13.1,24.7,-2.4,3.8,1.4,.018,-0.9,0.6,-0.2,1.6,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,78,13,1825,13.5,.483,.361,.221,7.1,16.7,11.9,17.8,1.8,3.5,16.8,23.9,-0.8,2.5,1.7,.045,-1.3,0.1,-1.2,0.4,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,32,1,459,13.2,.456,.322,.233,8.0,21.5,14.8,14.3,2.0,5.8,17.1,23.6,-0.6,0.9,0.3,.036,-2.8,2.3,-0.5,0.2,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,3,0,12,3.5,.250,.000,.000,28.1,8.7,18.1,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,-0.013,-8.4,-6.2,-14.6,0.0,
