Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2007-08,20,MIL,NBA,PF,66.0,49.0,1647.0,11.3,0.485,0.04,0.279,7.3,17.7,12.3,5.3,1.1,2.7,13.4,18.4,-0.1,0.9,0.7,0.022,-2.9,-1.1,-3.9,-0.8,
2008-09,21,NJN,NBA,PF,61.0,52.0,1421.0,10.9,0.474,0.28,0.246,5.5,22.0,13.7,7.0,1.1,2.1,11.2,20.5,-0.5,1.3,0.7,0.024,-2.7,-1.1,-3.8,-0.7,
2009-10,22,NJN,NBA,PF,52.0,51.0,1655.0,12.3,0.481,0.073,0.343,7.7,18.7,13.0,4.9,1.2,2.3,10.6,20.1,0.0,1.3,1.3,0.037,-2.8,-1.3,-4.1,-0.9,
2010-11,23,WAS,NBA,PF,63.0,11.0,1112.0,10.1,0.459,0.037,0.262,7.8,18.0,12.7,3.5,1.2,2.2,11.6,17.4,-0.4,0.8,0.4,0.016,-3.7,-1.6,-5.3,-0.9,
2011-12,24,DAL,NBA,PF,30.0,0.0,203.0,10.4,0.433,0.122,0.256,6.7,20.3,13.6,4.1,1.8,3.1,13.3,24.1,-0.3,0.3,0.0,-0.003,-5.4,-0.3,-5.7,-0.2,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,272.0,163.0,6038.0,11.2,0.474,0.112,0.285,7.1,19.1,12.9,5.2,1.2,2.4,11.8,19.4,-1.5,4.6,3.1,0.025,-3.1,-1.2,-4.3,-3.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,49.0,1820.0,11.2,0.474,0.112,0.285,7.1,19.1,12.9,5.2,1.2,2.4,11.8,19.4,-0.4,1.4,0.9,0.025,-3.1,-1.2,-4.3,-1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,113.0,103.0,3076.0,11.7,0.478,0.17,0.297,6.7,20.2,13.3,5.9,1.1,2.2,10.9,20.3,-0.6,2.6,2.0,0.031,-2.8,-1.2,-4.0,-1.5,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,66.0,49.0,1647.0,11.3,0.485,0.04,0.279,7.3,17.7,12.3,5.3,1.1,2.7,13.4,18.4,-0.1,0.9,0.7,0.022,-2.9,-1.1,-3.9,-0.8,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,63.0,11.0,1112.0,10.1,0.459,0.037,0.262,7.8,18.0,12.7,3.5,1.2,2.2,11.6,17.4,-0.4,0.8,0.4,0.016,-3.7,-1.6,-5.3,-0.9,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,30.0,0.0,203.0,10.4,0.433,0.122,0.256,6.7,20.3,13.6,4.1,1.8,3.1,13.3,24.1,-0.3,0.3,0.0,-0.003,-5.4,-0.3,-5.7,-0.2,
