"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Travis Diener,,2.5,1.9,0.7,0.6,0.0
Chris Douglas-Roberts,92.3,2.4,1.6,0.7,0.6,0.1
Jeff Judkins,87.5,3.0,1.8,0.7,0.6,0.2
Marcus Banks,86.4,2.3,1.9,0.8,0.7,0.4
Hollis Thompson,86.0,2.6,2.0,1.2,0.7,
Bo Lamar,85.5,2.5,1.5,1.0,0.5,
Maurice McHartley,85.5,2.4,1.8,0.8,,
Chris Quinn,84.5,2.6,2.1,0.6,0.1,0.1
Alonzo Gee,82.7,2.4,1.9,1.0,0.9,0.4
Shabazz Napier,82.2,3.2,2.0,0.6,0.5,0.1
Rodrigue Beaubois,80.6,2.2,2.0,0.4,0.2,
