Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,21,TOR,NBA,C,54.0,4.0,11.6,1.2,2.1,0.583,0.0,0.0,,1.2,2.1,0.583,0.583,0.6,1.1,0.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1,
2017-18,22,TOR,NBA,C,82.0,0.0,18.6,3.1,4.7,0.659,0.0,0.0,0.5,3.1,4.7,0.66,0.66,0.7,1.2,0.594,2.0,2.8,4.8,0.7,0.5,1.2,1.0,2.6,6.9,6MOY-12
2018-19,23,SAS,NBA,C,77.0,24.0,16.5,2.4,3.8,0.645,0.0,0.0,,2.4,3.8,0.645,0.645,0.6,1.2,0.533,2.3,3.0,5.3,1.2,0.4,0.9,0.6,1.6,5.5,
2019-20,24,SAS,NBA,C,66.0,18.0,17.7,2.5,4.0,0.624,0.0,0.0,,2.5,4.0,0.624,0.624,0.6,1.3,0.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6,
2020-21,25,SAS,NBA,C,69.0,51.0,26.7,3.8,6.2,0.616,0.0,0.0,,3.8,6.2,0.616,0.616,0.9,1.8,0.508,3.2,4.8,7.9,1.9,0.7,1.8,1.2,2.5,8.6,
2021-22,26,SAS,NBA,C,68.0,67.0,29.0,6.0,9.8,0.618,0.0,0.0,1.0,6.0,9.7,0.618,0.619,1.4,2.8,0.495,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5,
2022-23,27,2TM,NBA,C,72.0,71.0,26.5,5.4,8.6,0.629,0.0,0.0,0.0,5.4,8.6,0.63,0.629,1.7,2.8,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5,
2022-23,27,SAS,NBA,C,46.0,46.0,26.1,5.2,8.4,0.616,0.0,0.0,0.0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9.0,3.1,0.8,1.1,2.1,2.6,12.1,
2022-23,27,TOR,NBA,C,26.0,25.0,27.2,5.8,8.8,0.652,0.0,0.0,,5.8,8.8,0.652,0.652,1.6,2.8,0.569,3.2,5.9,9.1,2.2,1.2,1.3,1.1,3.0,13.1,
2023-24,28,TOR,NBA,C,50.0,50.0,26.4,5.0,7.6,0.656,0.0,0.0,,5.0,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,11.1,
2024-25,29,TOR,NBA,C,57.0,56.0,29.6,6.4,10.2,0.627,0.0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,
2025-26,30,TOR,NBA,C,11.0,11.0,26.1,5.0,6.8,0.733,0.0,0.0,,5.0,6.8,0.733,0.733,2.0,3.5,0.564,2.8,4.7,7.5,1.9,0.6,0.5,1.2,3.5,12.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,606.0,352.0,22.5,4.0,6.3,0.633,0.0,0.0,0.429,4.0,6.3,0.633,0.633,1.0,1.9,0.556,2.7,4.3,7.0,1.8,0.6,1.3,1.2,2.5,9.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (6 Yrs),TOR (6 Yrs),TOR (6 Yrs),TOR (6 Yrs),,280.0,146.0,22.0,4.1,6.3,0.645,0.0,0.0,0.4,4.1,6.3,0.646,0.646,1.1,1.9,0.596,2.5,4.1,6.6,1.5,0.7,1.1,1.2,2.7,9.2,
SAS (5 Yrs),SAS (5 Yrs),SAS (5 Yrs),SAS (5 Yrs),,326.0,206.0,22.9,3.9,6.2,0.622,0.0,0.0,0.5,3.9,6.2,0.622,0.622,1.0,1.9,0.522,2.9,4.4,7.3,2.1,0.6,1.4,1.2,2.3,8.8,
