Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,20,DEN,NBA,C,80,55,1733,8.9,17.4,.512,0.8,2.4,.333,8.1,14.9,.541,.535,4.5,5.5,.811,5.2,11.0,16.2,5.5,2.3,1.4,3.0,6.0,23.0,118,104,ROY-3
2016-17,21,DEN,NBA,C,73,59,2038,11.8,20.5,.578,1.1,3.3,.324,10.8,17.1,.628,.605,4.5,5.5,.825,5.1,12.1,17.2,8.6,1.5,1.3,4.1,5.1,29.3,126,109,
2017-18,22,DEN,NBA,C,75,73,2443,10.2,20.5,.499,2.3,5.7,.396,8.0,14.8,.538,.554,5.4,6.4,.850,4.0,12.3,16.3,9.3,1.8,1.2,4.3,4.3,28.1,121,107,
2018-19,23,DEN,NBA,C,80,80,2504,12.1,23.7,.511,1.6,5.3,.307,10.5,18.4,.569,.545,5.7,6.9,.821,4.5,12.5,17.0,11.4,2.1,1.1,4.9,4.5,31.5,119,105,"MVP-4,AS,NBA1"
2019-20,24,DEN,NBA,C,73,73,2336,12.0,22.7,.528,1.7,5.4,.314,10.3,17.3,.594,.565,5.2,6.4,.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,4.7,30.8,119,108,"MVP-9,AS,NBA2"
2020-21,25,DEN,NBA,C,72,72,2488,14.5,25.7,.566,1.8,4.7,.388,12.7,21.0,.606,.602,6.8,7.8,.868,4.1,11.4,15.5,11.9,1.9,1.0,4.4,3.8,37.7,130,109,"MVP-1,AS,NBA1"
2021-22,26,DEN,NBA,C,74,74,2476,15.1,26.0,.583,1.9,5.7,.337,13.2,20.3,.652,.620,7.5,9.3,.810,4.1,16.1,20.2,11.6,2.2,1.2,5.6,3.8,39.7,126,105,"MVP-1,AS,NBA1"
2022-23,27,DEN,NBA,C,69,69,2323,13.6,21.5,.632,1.2,3.1,.383,12.4,18.4,.675,.660,7.2,8.7,.822,3.5,13.7,17.2,14.3,1.8,1.0,5.2,3.7,35.6,134,110,"MVP-2,CPOY-13,AS,NBA2"
2023-24,28,DEN,NBA,C,79,79,2737,14.9,25.6,.583,1.5,4.2,.359,13.4,21.4,.626,.612,6.5,7.9,.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,131,108,"MVP-1,CPOY-4,AS,NBA1"
2024-25,29,DEN,NBA,C,70,70,2571,14.7,25.5,.576,2.6,6.2,.417,12.1,19.3,.627,.627,6.8,8.4,.800,3.7,12.9,16.7,13.4,2.4,0.8,4.3,3.0,38.7,133,111,"MVP-2,CPOY-2,AS,NBA1"
2025-26,30,DEN,NBA,C,14,14,483,15.1,23.6,.641,2.6,6.5,.400,12.5,17.1,.733,.696,7.8,9.1,.857,4.4,14.0,18.4,15.5,2.4,1.1,5.0,4.1,40.6,144,106,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,759,718,24132,13.0,23.2,.561,1.7,4.7,.361,11.3,18.4,.613,.598,6.1,7.4,.824,4.1,12.8,17.0,11.3,2.0,1.1,4.5,4.1,33.9,127,108,
