Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2007-08,22,ATL,NBA,PF,7.0,7.0,237.0,16.9,0.512,0.205,0.5,3.7,19.4,11.7,18.2,2.8,6.4,19.5,26.7,-0.2,0.3,0.1,0.022,-0.2,3.5,3.3,0.3,
2008-09,23,ATL,NBA,PF,11.0,11.0,410.0,17.7,0.494,0.094,0.447,6.8,19.6,12.7,12.6,1.7,3.9,9.9,25.7,0.2,0.4,0.6,0.073,1.1,1.1,2.2,0.4,
2009-10,24,ATL,NBA,PF,11.0,11.0,392.0,20.2,0.522,0.047,0.341,10.4,20.4,15.0,13.5,1.9,4.4,10.3,20.0,0.6,0.4,1.0,0.124,3.8,0.9,4.7,0.7,
2010-11,25,ATL,NBA,PF,12.0,12.0,438.0,15.4,0.451,0.14,0.392,5.0,23.1,14.1,15.1,1.7,4.8,11.5,25.4,-0.4,0.7,0.4,0.04,-0.2,1.6,1.4,0.4,
2011-12,26,ATL,NBA,PF,5.0,5.0,196.0,15.8,0.432,0.045,0.239,5.6,36.6,20.2,25.6,0.8,2.0,13.4,27.5,-0.2,0.5,0.2,0.059,0.9,2.1,3.1,0.3,
2012-13,27,ATL,NBA,PF,6.0,6.0,199.0,17.3,0.482,0.222,0.4,5.4,19.7,12.4,21.8,2.9,1.2,13.1,29.1,-0.1,0.3,0.2,0.054,1.1,1.9,3.0,0.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,29,HOU,NBA,PF,17.0,8.0,396.0,16.5,0.505,0.366,0.381,6.9,18.1,12.6,20.6,1.1,3.4,14.4,27.9,0.0,0.3,0.3,0.036,1.7,0.7,2.4,0.4,
2015-16,30,HOU,NBA,PF,4.0,0.0,38.0,7.6,0.576,0.615,0.154,2.6,3.0,2.8,19.9,1.3,2.3,26.5,20.4,0.0,0.0,0.0,-0.045,-0.2,0.3,0.1,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,73.0,60.0,2306.0,17.0,0.489,0.178,0.385,6.5,21.3,13.7,17.2,1.8,3.9,13.1,25.5,-0.1,2.9,2.8,0.059,1.2,1.5,2.7,2.8,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,67.0,2590.0,17.0,0.489,0.178,0.385,6.5,21.3,13.7,17.2,1.8,3.9,13.1,25.5,-0.1,3.3,3.2,0.059,1.2,1.5,2.7,3.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (6 Yrs),ATL (6 Yrs),ATL (6 Yrs),ATL (6 Yrs),,52.0,52.0,1872.0,17.3,0.483,0.12,0.39,6.5,22.3,14.1,16.4,1.9,4.1,12.5,25.1,-0.1,2.6,2.6,0.066,1.2,1.7,2.9,2.3,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,21.0,8.0,434.0,15.8,0.509,0.382,0.367,6.5,16.8,11.7,20.5,1.1,3.3,15.2,27.2,0.0,0.3,0.3,0.029,1.5,0.7,2.2,0.5,
