"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jabari Parker,,4.0,3.6,1.6,1.4,1.3,1.2,0.3,0.3,,,
Mike O'Koren,87.1,4.1,3.8,2.0,1.9,1.5,1.2,0.1,-0.1,,,
Steve Novak,86.6,4.0,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1,0.0
Jon Leuer,82.4,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1,,,
Rui Hachimura,81.3,4.3,4.1,2.1,1.8,1.8,1.4,,,,,
Luke Walton,80.4,3.8,3.2,2.0,2.0,1.6,0.8,0.5,0.3,-0.2,-0.4,
Danny Vranes,79.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,,
Toby Kimball,79.5,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,,
Damian Jones,79.4,3.3,2.8,1.6,1.5,1.2,0.8,0.1,0.0,,,
Cedi Osman,79.3,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,,,
Rondae Hollis-Jefferson,79.1,4.1,3.4,2.6,1.2,1.2,0.3,,,,,
