"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dylan Windler,,0.8,0.5,0.3,0.0
Gerald Glass,87.4,0.9,0.5,0.3,0.1
Chris Corchiani,85.7,0.9,0.4,0.3,
Jordan McRae,84.6,0.7,0.5,0.4,0.2
Dru Smith,78.5,0.7,0.3,0.3,
Keith McLeod,77.3,0.8,0.6,0.3,0.2
Acie Law,75.5,0.7,0.6,0.4,-0.1
Jaden Springer,75.5,0.6,0.5,0.3,0.0
Shawn Respert,75.0,0.8,0.7,0.5,0.1
Yakhouba Diawara,74.4,0.7,0.5,0.5,-0.1
Pearl Washington,74.4,0.7,0.7,0.5,
