Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,18,UTA,NBA,PG,23,0,203,7.5,20.5,.368,1.3,5.4,.250,6.2,15.1,.411,.401,4.8,6.5,.750,4.8,5.4,10.2,4.3,1.9,0.5,2.4,5.4,21.3,103,108,
2006-07,19,UTA,NBA,SG,37,13,373,5.6,16.3,.345,1.0,4.5,.219,4.6,11.8,.393,.375,2.0,3.2,.609,1.5,3.4,4.9,3.5,1.5,0.6,3.9,8.4,14.2,80,109,
2007-08,20,UTA,NBA,SG,60,13,689,8.4,17.6,.479,2.2,5.8,.390,6.2,11.9,.522,.542,3.1,3.9,.788,1.2,4.6,5.8,4.0,2.4,0.6,2.0,7.3,22.2,115,107,
2008-09,21,UTA,NBA,SG,72,72,1623,8.2,17.8,.459,2.0,5.7,.352,6.2,12.2,.509,.515,2.5,2.8,.876,1.4,3.9,5.3,3.4,1.5,0.5,2.0,5.9,20.9,109,110,
2009-10,22,UTA,NBA,SF,63,28,1497,8.2,19.2,.429,2.5,7.4,.341,5.7,11.8,.484,.495,2.3,3.2,.695,1.4,4.3,5.7,3.6,2.0,0.6,2.8,6.5,21.3,100,107,
2010-11,23,UTA,NBA,SF,78,19,1969,9.8,24.1,.407,2.9,9.1,.322,6.9,15.0,.459,.468,4.3,5.2,.811,1.4,5.4,6.8,3.6,2.0,1.0,2.5,5.9,26.8,103,110,
2011-12,24,UTA,NBA,SG,56,14,1145,8.1,21.3,.381,2.1,6.9,.307,6.0,14.4,.416,.430,5.0,6.2,.794,1.2,4.1,5.3,3.2,2.1,0.8,2.4,5.6,23.3,101,108,
2012-13,25,CLE,NBA,SF,65,13,1364,9.7,23.4,.415,4.8,12.5,.384,4.9,10.9,.451,.518,3.5,4.1,.869,0.9,5.7,6.6,2.4,1.9,0.6,2.6,5.3,27.8,107,110,
2013-14,26,CLE,NBA,SG,51,34,984,9.3,21.4,.435,4.3,11.1,.393,5.0,10.4,.480,.537,3.4,3.9,.853,0.9,4.5,5.4,2.7,2.4,0.8,2.3,5.4,26.4,111,107,
2014-15,27,IND,NBA,SG,70,40,1841,9.2,23.1,.398,4.3,12.5,.345,4.9,10.7,.459,.491,3.6,4.5,.807,0.5,5.5,6.0,2.1,1.7,0.7,2.0,3.7,26.4,103,104,
2015-16,28,IND,NBA,SF,64,24,1464,8.8,21.5,.409,4.8,13.1,.367,4.0,8.4,.474,.521,3.2,4.2,.750,0.8,5.1,5.9,2.1,1.8,1.0,2.4,4.8,25.5,104,104,
2016-17,29,IND,NBA,SF,76,29,1776,7.9,18.2,.434,4.8,11.5,.413,3.2,6.7,.471,.565,2.4,2.6,.903,0.8,5.6,6.5,1.4,1.3,0.7,1.1,4.3,23.0,115,111,
2017-18,30,TOR,NBA,SF,70,3,1337,8.4,22.1,.379,6.0,16.7,.361,2.3,5.3,.434,.516,3.0,3.6,.835,0.7,4.9,5.6,2.0,1.4,0.8,1.4,4.9,25.8,109,108,
2018-19,31,2TM,NBA,SF,53,1,856,6.3,17.6,.360,3.8,11.5,.330,2.6,6.1,.417,.468,2.7,3.3,.828,0.7,4.6,5.4,2.0,1.5,0.9,1.7,4.5,19.2,99,110,
2018-19,31,TOR,NBA,SF,40,1,562,6.0,17.6,.340,3.7,11.7,.314,2.3,5.9,.391,.444,3.0,3.8,.795,1.0,4.8,5.8,1.9,1.5,0.9,1.8,5.3,18.6,97,109,
2018-19,31,MEM,NBA,SF,13,0,294,7.1,17.7,.400,4.1,11.2,.364,3.0,6.6,.462,.514,2.2,2.4,.929,0.2,4.4,4.6,2.4,1.4,0.8,1.5,2.9,20.5,104,112,
2019-20,32,WAS,NBA,SF,10,0,161,5.5,17.1,.322,3.2,10.2,.314,2.3,7.0,.333,.415,4.4,5.8,.750,1.2,2.3,3.5,3.5,2.9,1.2,1.2,4.1,18.6,103,114,
