Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,19,SEA,NBA,SG,80,80,2768,587,1366,.430,59,205,.288,528,1161,.455,.451,391,448,.873,70,278,348,192,78,75,232,122,1624,0,ROY-1
2008-09,20,OKC,NBA,SF,74,74,2885,661,1390,.476,97,230,.422,564,1160,.486,.510,452,524,.863,77,405,482,205,96,53,225,134,1871,0,
2009-10,21,OKC,NBA,SF,82,82,3239,794,1668,.476,128,351,.365,666,1317,.506,.514,756,840,.900,105,518,623,231,112,84,271,171,2472,0,"MVP-2,AS,NBA1"
2010-11,22,OKC,NBA,SF,78,78,3038,711,1538,.462,145,414,.350,566,1124,.504,.509,594,675,.880,57,476,533,214,88,76,218,159,2161,0,"MVP-5,AS,NBA1"
2011-12,23,OKC,NBA,SF,66,66,2546,643,1297,.496,133,344,.387,510,953,.535,.547,431,501,.860,40,487,527,231,88,77,248,133,1850,0,"MVP-2,AS,NBA1"
2012-13,24,OKC,NBA,SF,81,81,3119,731,1433,.510,139,334,.416,592,1099,.539,.559,679,750,.905,46,594,640,374,116,105,280,143,2280,3,"MVP-2,AS,NBA1"
2013-14,25,OKC,NBA,SF,81,81,3122,849,1688,.503,192,491,.391,657,1197,.549,.560,703,805,.873,58,540,598,445,103,59,285,174,2593,3,"MVP-1,AS,NBA1"
2014-15,26,OKC,NBA,SF,27,27,913,238,467,.510,64,159,.403,174,308,.565,.578,146,171,.854,16,162,178,110,24,25,74,40,686,0,AS
2015-16,27,OKC,NBA,SF,72,72,2578,698,1381,.505,186,481,.387,512,900,.569,.573,447,498,.898,45,544,589,361,69,85,250,137,2029,1,"MVP-5,AS,NBA2"
2016-17,28,GSW,NBA,PF,62,62,2070,551,1026,.537,117,312,.375,434,714,.608,.594,336,384,.875,39,474,513,300,66,99,138,117,1555,1,"MVP-9,AS,NBA2"
2017-18,29,GSW,NBA,SF,68,68,2325,630,1222,.516,173,413,.419,457,809,.565,.586,359,404,.889,31,433,464,366,50,119,207,133,1792,2,"MVP-7,DPOY-9,AS,NBA1"
2018-19,30,GSW,NBA,SF,78,78,2702,721,1383,.521,137,388,.353,584,995,.587,.571,448,506,.885,33,464,497,457,58,84,225,155,2027,2,"MVP-8,AS,NBA2"
2019-20,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2020-21,32,BRK,NBA,PF,35,32,1157,324,603,.537,85,189,.450,239,414,.577,.608,210,238,.882,13,234,247,195,25,45,120,70,943,0,AS
2021-22,33,BRK,NBA,PF,55,55,2047,578,1115,.518,115,300,.383,463,815,.568,.570,372,409,.910,29,378,407,351,48,52,191,113,1643,4,"MVP-10,AS,NBA2"
2022-23,34,2TM,NBA,PF,47,47,1672,483,862,.560,93,230,.404,390,632,.617,.614,307,334,.919,17,296,313,235,34,67,156,99,1366,1,AS
2022-23,34,BRK,NBA,PF,39,39,1403,410,734,.559,71,189,.376,339,545,.622,.607,267,286,.934,14,248,262,207,32,57,136,92,1158,1,
2022-23,34,PHO,NBA,PF,8,8,269,73,128,.570,22,41,.537,51,87,.586,.656,40,48,.833,3,48,51,28,2,10,20,7,208,0,
2023-24,35,PHO,NBA,PF,75,75,2791,751,1436,.523,168,407,.413,583,1029,.567,.581,362,423,.856,41,454,495,378,69,91,244,133,2032,1,"MVP-9,AS,NBA2"
2024-25,36,PHO,NBA,PF,62,62,2265,592,1124,.527,160,372,.430,432,752,.574,.598,303,361,.839,23,351,374,263,50,77,190,104,1647,0,AS
2025-26,37,HOU,NBA,SF,13,13,470,111,224,.496,23,61,.377,88,163,.540,.547,86,97,.887,4,55,59,44,12,8,40,35,331,0,
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1136,1133,41707,10653,21223,.502,2214,5681,.390,8439,15542,.543,.554,7382,8368,.882,744,7143,7887,4952,1186,1281,3594,2172,30902,18,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,82,3011,769,1532,.502,160,410,.390,609,1122,.543,.554,533,604,.882,54,516,569,357,86,92,259,157,2231,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (9 Yrs),OKC (9 Yrs),OKC (9 Yrs),OKC (9 Yrs),,641,641,24208,5912,12228,.483,1143,3009,.380,4769,9219,.517,.530,4599,5212,.882,514,4004,4518,2363,774,639,2083,1213,17566,7,
GSW (3 Yrs),GSW (3 Yrs),GSW (3 Yrs),GSW (3 Yrs),,208,208,7097,1902,3631,.524,427,1113,.384,1475,2518,.586,.583,1143,1294,.883,103,1371,1474,1123,174,302,570,405,5374,5,
PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),,145,145,5325,1416,2688,.527,350,820,.427,1066,1868,.571,.592,705,832,.847,67,853,920,669,121,178,454,244,3887,1,
BRK (3 Yrs),BRK (3 Yrs),BRK (3 Yrs),BRK (3 Yrs),,129,126,4607,1312,2452,.535,271,678,.400,1041,1774,.587,.590,849,933,.910,56,860,916,753,105,154,447,275,3744,5,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,13,13,470,111,224,.496,23,61,.377,88,163,.540,.547,86,97,.887,4,55,59,44,12,8,40,35,331,0,
