"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Mamadou N'Diaye,,0.8,0.6,0.3,0.2,0.0
Udoka Azubuike,82.4,1.0,0.6,0.2,0.1,
Roger Brown,77.1,0.9,0.7,0.4,0.2,0.1
Dave Newmark,74.6,0.8,0.7,0.4,,
Hamed Haddadi,73.2,0.6,0.6,0.4,0.1,0.0
Keith Closs,70.2,1.1,0.6,0.2,,
Todd Fuller,69.7,0.7,0.7,0.6,0.2,0.0
Shawnelle Scott,68.9,0.5,0.4,0.2,0.2,
Jabari Smith,67.8,0.7,0.5,0.2,0.0,
Dave Feitl,66.7,0.5,0.4,0.3,0.2,0.1
Olivier Sarr,63.9,1.0,0.4,0.2,,
