"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Greivis VÃ¡squez,,3.8,3.6,2.8,2.3,0.5,0.0,-0.3
Devonte' Graham,90.4,3.4,3.4,2.8,2.5,0.5,0.1,
Andre Roberson,85.5,4.2,3.4,2.2,2.1,0.8,0.0,-0.1
Eric Money,85.4,4.2,3.6,3.3,2.7,0.6,0.3,
Joe Hamilton,85.1,4.1,2.9,2.9,2.2,0.2,0.2,
Ayo Dosunmu,84.2,4.1,3.0,2.9,2.5,,,
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1.0,0.7,
Bill Gabor,83.6,3.5,2.9,2.8,1.5,0.5,0.0,
Skeeter Swift,83.5,4.3,3.4,2.7,1.8,0.0,,
Speedy Claxton,83.1,4.2,3.7,3.0,2.8,1.2,0.0,-0.7
Otis Smith,82.8,3.6,3.5,3.3,2.5,-0.2,-0.4,
