Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2004-05,19,ORL,NBA,PF,82.0,82.0,2670.0,17.2,0.571,0.003,0.61,12.2,22.2,17.3,4.4,1.5,3.6,16.1,16.7,3.8,3.5,7.3,0.131,0.1,-0.1,0.0,1.4,"ROY-3,DPOY-21"
2005-06,20,ORL,NBA,PF,82.0,81.0,3021.0,19.3,0.565,0.002,0.679,12.1,29.2,20.9,7.2,1.2,3.0,15.9,21.3,4.2,4.4,8.6,0.137,1.1,-0.1,1.0,2.3,
2006-07,21,ORL,NBA,C,82.0,82.0,3023.0,21.1,0.619,0.002,0.763,11.8,28.9,20.5,9.5,1.2,4.2,21.4,22.7,3.9,5.8,9.7,0.154,1.7,1.1,2.8,3.7,"DPOY-16,AS,NBA3"
2007-08,22,ORL,NBA,C,82.0,82.0,3088.0,22.9,0.619,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,6.4,6.4,12.9,0.2,1.6,1.2,2.8,3.7,"MVP-5,DPOY-7,AS,NBA1,DEF2"
2008-09,23,ORL,NBA,C,79.0,79.0,2821.0,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,6.2,7.6,13.8,0.234,2.1,2.4,4.5,4.7,"MVP-4,DPOY-1,AS,NBA1,DEF1"
2009-10,24,ORL,NBA,C,82.0,82.0,2843.0,24.0,0.63,0.008,0.978,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,6.1,7.1,13.2,0.223,1.6,2.8,4.4,4.6,"MVP-4,DPOY-1,AS,NBA1,DEF1"
2010-11,25,ORL,NBA,C,78.0,78.0,2935.0,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4,"MVP-2,DPOY-1,AS,NBA1,DEF1"
2011-12,26,ORL,NBA,C,54.0,54.0,2070.0,24.2,0.569,0.01,0.788,11.0,33.1,21.9,9.8,2.1,4.4,15.2,26.1,3.3,4.4,7.7,0.179,2.2,2.0,4.3,3.3,"MVP-7,DPOY-3,AS,NBA1,DEF1"
2012-13,27,LAL,NBA,C,76.0,76.0,2722.0,19.4,0.573,0.007,0.887,10.4,27.4,19.1,6.6,1.6,4.9,16.6,22.2,2.8,4.8,7.6,0.134,-0.6,1.1,0.6,1.8,"DPOY-14,AS,NBA3"
2013-14,28,HOU,NBA,C,71.0,71.0,2396.0,21.3,0.6,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4.0,17.5,24.0,4.0,4.1,8.0,0.161,0.9,0.8,1.8,2.3,"DPOY-8,AS,NBA2"
2014-15,29,HOU,NBA,C,41.0,41.0,1223.0,19.2,0.596,0.005,0.641,10.0,28.9,19.5,7.3,1.1,3.4,17.5,23.3,1.4,2.2,3.6,0.14,-0.3,-0.1,-0.4,0.5,
2015-16,30,HOU,NBA,C,71.0,71.0,2280.0,18.9,0.604,0.01,0.79,11.4,29.1,20.2,7.0,1.5,4.1,17.0,18.4,3.5,3.1,6.6,0.138,0.3,-0.2,0.1,1.2,
2016-17,31,ATL,NBA,C,74.0,74.0,2199.0,20.8,0.627,0.003,0.692,15.0,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,0.6,0.8,1.4,1.9,
2017-18,32,CHO,NBA,C,81.0,81.0,2463.0,20.5,0.577,0.008,0.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,2.9,3.9,6.8,0.132,-0.3,0.1,-0.1,1.2,
2018-19,33,WAS,NBA,C,9.0,9.0,230.0,17.4,0.638,0.0,0.696,11.1,28.3,19.6,2.6,1.4,1.5,15.1,19.6,0.4,0.2,0.6,0.124,-1.3,-1.7,-3.0,-0.1,
2019-20,34,LAL,NBA,C,69.0,2.0,1306.0,18.7,0.696,0.018,0.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,2.8,2.6,5.4,0.197,-1.0,1.2,0.2,0.7,6MOY-9
2020-21,35,PHI,NBA,C,69.0,6.0,1196.0,17.8,0.61,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,1.3,2.6,4.0,0.159,-2.1,0.6,-1.5,0.1,
2021-22,36,LAL,NBA,C,60.0,27.0,971.0,18.2,0.657,0.068,0.667,13.1,26.3,19.7,5.0,1.7,3.3,14.2,14.6,2.2,1.3,3.5,0.174,-0.2,0.0,-0.2,0.4,
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1242.0,1078.0,39457.0,21.3,0.602,0.009,0.787,12.2,29.6,21.1,7.3,1.4,4.4,17.0,22.3,65.6,76.2,141.7,0.172,0.9,1.0,1.9,39.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,71.0,2605.0,21.3,0.602,0.009,0.787,12.2,29.6,21.1,7.3,1.4,4.4,17.0,22.3,4.3,5.0,9.4,0.172,0.9,1.0,1.9,2.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (8 Yrs),ORL (8 Yrs),ORL (8 Yrs),ORL (8 Yrs),,621.0,620.0,22471.0,22.5,0.601,0.005,0.82,12.1,29.5,21.0,7.4,1.5,4.5,16.9,23.5,40.5,47.0,87.5,0.187,1.7,1.4,3.1,29.0,
